did,dataset_name,model,num_samples,num_features,configured_eval_position,real_eval_position,inference_mean,inference_median,inference_std,inference_min,inference_max,end_to_end_mean,end_to_end_median,count,mean_metric
11,balance-scale,hybrid_8l,625,4,972,312,0.01465010662873586,0.014582663774490356,0.0003348049572872544,0.014494725503027439,0.017229926772415638,0.045175616840521494,0.03847953863441944,75,0.9942990899085998
11,balance-scale,hydra,625,4,972,312,0.021857333295047285,0.021831574849784374,8.054702209930273e-05,0.02174901682883501,0.022102908231317997,0.05025230453660091,0.04624846391379833,75,0.9865081906318665
11,balance-scale,hydra_small,625,4,972,312,0.11213976662606001,0.11210919916629791,0.00013429054714276565,0.11203377693891525,0.11302354093641043,0.14351531339188417,0.13868618290871382,75,0.9939501166343689
11,balance-scale,tabpfn,625,4,972,312,0.02013283343364795,0.020119359716773033,7.880163194994958e-05,0.020034268498420715,0.02065039612352848,0.049355777526895205,0.04454499762505293,75,0.9973952293395996
14,mfeat-fourier,hybrid_8l,2000,76,972,512,0.03586884794135888,0.034932912327349186,0.0022869226033252056,0.034838912077248096,0.04166943300515413,0.4675139221797387,0.35474927350878716,75,0.9725027084350586
14,mfeat-fourier,hydra,2000,76,972,512,0.055981504706044995,0.053844304755330086,0.004143368165382464,0.053708165884017944,0.06529753096401691,0.49589401930570604,0.3704944783821702,75,0.95686274766922
14,mfeat-fourier,hydra_small,2000,76,972,512,0.3018145965660612,0.30317794997245073,0.017483935513082628,0.2851231787353754,0.3403860814869404,0.7348013217995564,0.6287983860820532,75,0.9534295678138733
14,mfeat-fourier,tabpfn,2000,76,972,512,0.048862123352785905,0.047080861404538155,0.0037024997212115594,0.04695160686969757,0.05805783532559872,0.5306931392848492,0.38048155419528484,75,0.9734832048416138
15,breast-w,hybrid_8l,683,9,972,341,0.01241889849305153,0.012096143327653408,0.0008925351760362799,0.011953352950513363,0.016081522218883038,0.0666175718481342,0.05349314119666815,75,0.9931215286254883
15,breast-w,hydra,683,9,972,341,0.017307651129861674,0.01713933702558279,0.0004914195629151989,0.0169435553252697,0.020054559223353863,0.07357764543344578,0.06067517772316933,75,0.994261109828949
