did,model,split_number,ensemble_index,test_index,target,predicted_class,output_class_0,output_class_1
46937,tabpfn,1,0,0,0,0,0.6903831958770752,0.3096168339252472
46937,tabpfn,1,0,1,0,1,0.4697076678276062,0.5302923321723938
46937,tabpfn,1,0,2,1,0,0.6358948349952698,0.3641051650047302
46937,tabpfn,1,0,3,0,1,0.28270336985588074,0.7172966599464417
46937,tabpfn,1,0,4,1,1,0.27317696809768677,0.7268230319023132
46937,tabpfn,1,0,5,1,1,0.4506728947162628,0.5493270754814148
46937,tabpfn,1,0,6,1,1,0.25953614711761475,0.74046391248703
46937,tabpfn,1,0,7,1,1,0.21051910519599915,0.7894809246063232
46937,tabpfn,1,0,8,0,1,0.4623561501502991,0.5376437902450562
46937,tabpfn,1,0,9,1,1,0.2266918420791626,0.7733081579208374
46937,tabpfn,1,0,10,1,1,0.21403180062770844,0.7859681844711304
46937,tabpfn,1,0,11,1,1,0.1904367208480835,0.8095632791519165
46937,tabpfn,1,0,12,1,1,0.449033260345459,0.550966739654541
46937,tabpfn,1,0,13,1,1,0.41380515694618225,0.5861948728561401
46937,tabpfn,1,0,14,0,1,0.25613564252853394,0.7438644170761108
46937,tabpfn,1,0,15,0,0,0.6676540374755859,0.33234596252441406
46937,tabpfn,1,0,16,0,0,0.6201657056808472,0.3798343539237976
46937,tabpfn,1,0,17,1,1,0.464013934135437,0.5359861254692078
46937,tabpfn,1,0,18,0,1,0.23232801258563995,0.7676719427108765
46937,tabpfn,1,0,19,1,1,0.12228222191333771,0.8777177929878235
46937,tabpfn,1,0,20,1,0,0.500216007232666,0.499783992767334
46937,tabpfn,1,0,21,0,0,0.5821187496185303,0.4178812801837921
46937,tabpfn,1,0,22,0,1,0.42671746015548706,0.5732825398445129
46937,tabpfn,1,0,23,0,1,0.3439461588859558,0.6560538411140442
46937,tabpfn,1,0,24,0,0,0.6875424981117249,0.31245747208595276
46937,tabpfn,1,0,25,1,1,0.41530728340148926,0.584692656993866
46937,tabpfn,1,0,26,1,1,0.4421587288379669,0.5578413009643555
46937,tabpfn,1,0,27,0,1,0.19679288566112518,0.8032070994377136
46937,tabpfn,1,0,28,1,1,0.1929759383201599,0.8070241212844849
46937,tabpfn,1,0,29,1,0,0.5874828100204468,0.4125172197818756
46937,tabpfn,1,0,30,0,1,0.2858924865722656,0.7141075134277344
46937,tabpfn,1,0,31,1,1,0.24734699726104736,0.7526530027389526
46937,tabpfn,1,0,32,1,1,0.3905957043170929,0.6094043254852295
46937,tabpfn,1,0,33,1,0,0.7225614190101624,0.27743858098983765
46937,tabpfn,1,0,34,0,0,0.5671501755714417,0.4328498840332031
46937,tabpfn,1,0,35,1,1,0.2042645364999771,0.7957354187965393
46937,tabpfn,1,0,36,1,1,0.3517162799835205,0.6482836604118347
46937,tabpfn,1,0,37,1,0,0.5265948176383972,0.47340521216392517
46937,tabpfn,1,0,38,1,0,0.638290524482727,0.36170947551727295
46937,tabpfn,1,0,39,0,0,0.5805724859237671,0.4194275736808777
46937,tabpfn,1,0,40,1,0,0.6144197583198547,0.38558027148246765
46937,tabpfn,1,0,41,1,1,0.2475450038909912,0.7524549961090088
46937,tabpfn,1,0,42,1,1,0.2683793008327484,0.731620728969574
46937,tabpfn,1,0,43,1,1,0.30876025557518005,0.6912397146224976
46937,tabpfn,1,0,44,1,1,0.2715621292591095,0.7284379005432129
46937,tabpfn,1,0,45,0,0,0.7228127717971802,0.2771872580051422
46937,tabpfn,1,0,46,1,1,0.43760427832603455,0.5623957514762878
46937,tabpfn,1,0,47,1,1,0.3554033935070038,0.6445965766906738
46937,tabpfn,1,0,48,1,1,0.3853299617767334,0.6146700978279114
46937,tabpfn,1,0,49,0,1,0.41094788908958435,0.589052140712738
46937,tabpfn,1,0,50,1,1,0.31420671939849854,0.6857933402061462
46937,tabpfn,1,0,51,1,1,0.2705892026424408,0.7294108271598816
46937,tabpfn,1,0,52,1,0,0.5701785087585449,0.4298214912414551
46937,tabpfn,1,0,53,1,1,0.3613321781158447,0.6386678218841553
46937,tabpfn,1,0,54,0,1,0.43272367119789124,0.5672763586044312
46937,tabpfn,1,0,55,1,1,0.24127177894115448,0.7587282061576843
46937,tabpfn,1,0,56,1,1,0.17043113708496094,0.8295688629150391
46937,tabpfn,1,0,57,1,1,0.22738638520240784,0.7726135849952698
46937,tabpfn,1,0,58,1,1,0.3091222941875458,0.6908776760101318
46937,tabpfn,1,0,59,1,1,0.46038153767585754,0.5396184325218201
46937,tabpfn,1,0,60,1,1,0.2729819715023041,0.7270179986953735
46937,tabpfn,1,0,61,1,0,0.6518218517303467,0.34817811846733093
46937,tabpfn,1,0,62,1,1,0.21599571406841278,0.7840043306350708
46937,tabpfn,1,0,63,0,1,0.37517133355140686,0.6248286366462708
46937,tabpfn,1,0,64,0,0,0.66830974817276,0.3316902816295624
46937,tabpfn,1,0,65,1,1,0.22619369626045227,0.7738062739372253
46937,tabpfn,1,0,66,0,0,0.5643137693405151,0.43568626046180725
46937,tabpfn,1,0,67,0,0,0.6849527955055237,0.31504717469215393
46937,tabpfn,1,0,68,0,1,0.4873855412006378,0.5126144289970398
46937,tabpfn,1,0,69,0,1,0.457985520362854,0.5420144200325012
46937,tabpfn,1,0,70,1,1,0.40853071212768555,0.5914692878723145
46937,tabpfn,1,0,71,0,1,0.39333197474479675,0.6066679954528809
46937,tabpfn,1,0,72,0,1,0.4099368751049042,0.5900631546974182
46937,tabpfn,1,0,73,1,1,0.46986374258995056,0.5301362872123718
46937,tabpfn,1,0,74,1,1,0.3816770017147064,0.6183229684829712
46937,tabpfn,1,0,75,1,1,0.4344901144504547,0.5655098557472229
46937,tabpfn,1,0,76,0,0,0.6119508147239685,0.38804924488067627
46937,tabpfn,1,0,77,1,1,0.32420656085014343,0.6757934093475342
46937,tabpfn,1,0,78,0,1,0.434238463640213,0.5657615065574646
46937,tabpfn,1,0,79,0,1,0.38315048813819885,0.6168494820594788
46937,tabpfn,1,0,80,0,0,0.6247774362564087,0.3752225339412689
46937,tabpfn,1,0,81,0,1,0.48420262336730957,0.5157973170280457
46937,tabpfn,1,0,82,1,0,0.5054736137390137,0.49452635645866394
46937,tabpfn,1,0,83,1,0,0.5047257542610168,0.4952741861343384
46937,tabpfn,1,0,84,1,0,0.5854657292366028,0.4145342707633972
46937,tabpfn,1,0,85,0,0,0.5116848945617676,0.48831507563591003
46937,tabpfn,1,0,86,1,1,0.21203182637691498,0.7879681587219238
46937,tabpfn,1,0,87,0,1,0.476967453956604,0.523032546043396
46937,tabpfn,1,0,88,0,0,0.5043872594833374,0.4956127405166626
46937,tabpfn,1,0,89,0,1,0.3587930500507355,0.6412069797515869
46937,tabpfn,1,0,90,1,1,0.46225282549858093,0.5377472043037415
46937,tabpfn,1,0,91,1,1,0.258495956659317,0.7415040731430054
46937,tabpfn,1,0,92,1,1,0.3559248447418213,0.6440751552581787
46937,tabpfn,1,0,93,1,1,0.4301915466785431,0.5698084235191345
46937,tabpfn,1,0,94,0,0,0.620765745639801,0.379234254360199
46937,tabpfn,1,0,95,1,1,0.16619566082954407,0.8338043689727783
46937,tabpfn,1,0,96,0,1,0.4399167597293854,0.5600832104682922
46937,tabpfn,1,0,97,0,1,0.47501978278160095,0.5249802470207214
46937,tabpfn,1,0,98,1,0,0.6934654116630554,0.3065345287322998
46937,tabpfn,1,0,99,0,1,0.20459383726119995,0.7954061627388
46937,tabpfn,1,0,100,0,1,0.3509923219680786,0.6490076780319214
46937,tabpfn,1,0,101,0,0,0.7328786849975586,0.2671213150024414
46937,tabpfn,1,0,102,1,1,0.227402463555336,0.7725974917411804
46937,tabpfn,1,0,103,0,1,0.2244071513414383,0.7755929231643677
46937,tabpfn,1,0,104,1,1,0.1589227169752121,0.8410772681236267
46937,tabpfn,1,0,105,0,1,0.2951946258544922,0.7048053741455078
46937,tabpfn,1,0,106,1,1,0.33018958568573,0.66981041431427
46937,tabpfn,1,0,107,0,0,0.5184728503227234,0.4815271496772766
46937,tabpfn,1,0,108,0,1,0.34690332412719727,0.6530966758728027
46937,tabpfn,1,0,109,0,0,0.5277479290962219,0.4722520411014557
46937,tabpfn,1,0,110,0,0,0.659709632396698,0.3402903378009796
46937,tabpfn,1,0,111,1,1,0.37138864398002625,0.6286113858222961
46937,tabpfn,1,0,112,1,1,0.4594195485115051,0.5405805110931396
46937,tabpfn,1,0,113,1,1,0.14535769820213318,0.8546422719955444
46937,tabpfn,1,0,114,1,1,0.2686046361923218,0.731395423412323
46937,tabpfn,1,0,115,1,1,0.30984988808631897,0.6901501417160034
46937,tabpfn,1,0,116,1,1,0.3175114095211029,0.6824886202812195
46937,tabpfn,1,0,117,0,1,0.45289933681488037,0.5471006631851196
46937,tabpfn,1,0,118,0,1,0.1658409833908081,0.8341589570045471
46937,tabpfn,1,0,119,0,1,0.48104336857795715,0.5189566016197205
46937,tabpfn,1,0,120,1,1,0.3924776017665863,0.6075224280357361
46937,tabpfn,1,0,121,1,0,0.525423526763916,0.474576473236084
46937,tabpfn,1,0,122,1,1,0.2512447237968445,0.7487552762031555
46937,tabpfn,1,0,123,0,0,0.648302435874939,0.3516975939273834
46937,tabpfn,1,0,124,0,1,0.40737184882164,0.5926281809806824
46937,tabpfn,1,0,125,0,0,0.7162928581237793,0.2837071716785431
46937,tabpfn,1,0,126,0,0,0.5559746623039246,0.44402533769607544
46937,tabpfn,1,0,127,1,1,0.10289305448532104,0.8971068859100342
46937,tabpfn,1,0,128,1,1,0.4316997528076172,0.5683002471923828
46937,tabpfn,1,0,129,0,1,0.4742412269115448,0.5257588028907776
46937,tabpfn,1,0,130,0,0,0.7358115315437317,0.2641885280609131
46937,tabpfn,1,0,131,1,1,0.38549530506134033,0.6145046949386597
46937,tabpfn,1,0,132,0,0,0.6915512681007385,0.3084487318992615
46937,tabpfn,1,0,133,1,1,0.40074706077575684,0.5992529392242432
46937,tabpfn,1,0,134,0,0,0.5077686905860901,0.4922312796115875
46937,tabpfn,1,0,135,1,1,0.2582085132598877,0.7417914271354675
46937,tabpfn,1,0,136,0,1,0.3251115381717682,0.6748884320259094
46937,tabpfn,1,0,137,0,1,0.19830375909805298,0.801696240901947
46937,tabpfn,1,0,138,1,1,0.06499946117401123,0.9350005388259888
46937,tabpfn,1,0,139,0,1,0.2548612654209137,0.7451387643814087
46937,tabpfn,1,0,140,1,1,0.25743913650512695,0.7425608038902283
46937,tabpfn,1,0,141,1,1,0.3038804829120636,0.6961195468902588
46937,tabpfn,1,0,142,1,1,0.2795987129211426,0.7204013466835022
46937,tabpfn,1,0,143,1,1,0.23458023369312286,0.7654197812080383
46937,tabpfn,1,0,144,1,0,0.506874144077301,0.49312588572502136
46937,tabpfn,1,0,145,1,1,0.29132452607154846,0.7086755037307739
46937,tabpfn,1,0,146,0,0,0.5617687106132507,0.43823128938674927
46937,tabpfn,1,0,147,0,0,0.729231595993042,0.2707684338092804
46937,tabpfn,1,0,148,1,0,0.6206274628639221,0.37937256693840027
46937,tabpfn,1,0,149,1,1,0.2688141465187073,0.7311858534812927
46937,tabpfn,1,0,150,1,0,0.706608772277832,0.29339125752449036
46937,tabpfn,1,0,151,1,1,0.22066503763198853,0.7793349623680115
46937,tabpfn,1,0,152,0,1,0.27383431792259216,0.7261657118797302
46937,tabpfn,1,0,153,0,1,0.2443147599697113,0.7556852698326111
46937,tabpfn,1,0,154,0,1,0.36062777042388916,0.6393721699714661
46937,tabpfn,1,0,155,1,1,0.08486933261156082,0.915130615234375
46937,tabpfn,1,0,156,0,1,0.4295971393585205,0.5704028606414795
46937,tabpfn,1,0,157,1,1,0.3965270221233368,0.6034730076789856
46937,tabpfn,1,0,158,0,0,0.6159064769744873,0.3840935528278351
46937,tabpfn,1,0,159,0,1,0.18500782549381256,0.8149921894073486
46937,tabpfn,1,0,160,1,0,0.5148002505302429,0.4851997494697571
46937,tabpfn,1,0,161,0,1,0.46947821974754333,0.5305217504501343
46937,tabpfn,1,0,162,1,1,0.31418371200561523,0.6858162879943848
46937,tabpfn,1,0,163,0,0,0.5438313484191895,0.45616868138313293
46937,tabpfn,1,0,164,1,0,0.5304566621780396,0.4695432782173157
46937,tabpfn,1,0,165,1,1,0.3294391334056854,0.670560896396637
46937,tabpfn,1,0,166,1,1,0.2382727861404419,0.7617272138595581
46937,tabpfn,1,0,167,1,1,0.1699213832616806,0.830078661441803
46937,tabpfn,1,0,168,1,1,0.1789058893918991,0.8210941553115845
46937,tabpfn,1,0,169,1,1,0.49630290269851685,0.5036970973014832
46937,tabpfn,1,0,170,1,1,0.2052951157093048,0.7947049140930176
46937,tabpfn,1,0,171,0,0,0.6936681270599365,0.3063318729400635
46937,tabpfn,1,0,172,1,1,0.17311201989650726,0.8268879652023315
46937,tabpfn,1,0,173,0,1,0.3709861934185028,0.6290138363838196
46937,tabpfn,1,0,174,0,1,0.4199317991733551,0.5800682306289673
46937,tabpfn,1,0,175,1,1,0.29776039719581604,0.7022395730018616
46937,tabpfn,1,0,176,1,1,0.3867301940917969,0.6132698059082031
46937,tabpfn,1,0,177,0,0,0.6433711051940918,0.3566288948059082
46937,tabpfn,1,0,178,0,1,0.3897468149662018,0.6102532148361206
