model,table_size,num_features,eval_position,mean,median,std,min,max,count
hybrid_8l,512,10,256,0.011646240297704936,0.010862377006560564,0.0023411653819072867,0.010498637333512306,0.018215722404420376,10
hybrid_8l,1024,10,512,0.016658256109803916,0.0161476437933743,0.0014485871870742128,0.01606475654989481,0.02073730155825615,10
hybrid_8l,2048,10,1024,0.032186382729560134,0.0320783699862659,0.00031155159940497875,0.03197758365422487,0.03303005825728178,10
hybrid_8l,4096,10,2048,0.07171799857169389,0.07169662369415164,8.722852031940097e-05,0.07162725832313299,0.07193837780505419,10
hybrid_8l,8192,10,4096,0.17467127554118633,0.17465500719845295,0.00010902503151791985,0.17453898303210735,0.1749378377571702,10
hybrid_8l,16384,10,8192,0.4952026716433465,0.49522734992206097,0.0003135387662728171,0.4947568131610751,0.49559428356587887,10
hybrid_8l,32768,10,16384,1.6645934579893946,1.6649793982505798,0.0013171395769915233,1.6618326837196946,1.6663351589813828,10
hydra_22M,512,10,256,0.017547981068491935,0.01707101846113801,0.0007451231120665898,0.016889039427042007,0.018653872422873974,10
hydra_22M,1024,10,512,0.023259496502578258,0.023178072180598974,0.00026503568165911056,0.023145095445215702,0.024011366069316864,10
hydra_22M,2048,10,1024,0.04388101035729051,0.04386355075985193,0.00011344238044096424,0.04377854894846678,0.04414976295083761,10
hydra_22M,4096,10,2048,0.08621881231665611,0.08621413772925735,5.598683033209126e-05,0.08613279834389687,0.08632880914956331,10
hydra_22M,8192,10,4096,0.16998559180647135,0.169978984631598,0.00012715538599033109,0.16978266928344965,0.17022412456572056,10
hydra_22M,16384,10,8192,0.33475073585286735,0.33480374282225966,0.0002698361800284533,0.33443189319223166,0.33509568497538567,10
hydra_22M,32768,10,16384,0.7532686905004085,0.753564041107893,0.0011951495993840653,0.7500496339052916,0.7543487576767802,10
hydra_small,512,10,256,0.06275907149538398,0.06251990795135498,0.0007558621016113535,0.06245333235710859,0.06490242388099432,10
hydra_small,1024,10,512,0.11769932834431529,0.11761451326310635,0.00016911168506991765,0.11757912579923868,0.118111084215343,10
hydra_small,2048,10,1024,0.23403754280880093,0.2340169195085764,8.052632832451285e-05,0.23396948724985123,0.23425910715013742,10
hydra_small,4096,10,2048,0.457922834251076,0.45792707009240985,0.00010395890098182608,0.4577816231176257,0.45805835630744696,10
hydra_small,8192,10,4096,0.9141935398802161,0.9141367459669709,0.0003927139774893815,0.9136157250031829,0.9148037219420075,10
hydra_small,16384,10,8192,1.8566983906552195,1.856146339327097,0.0023730455120375767,1.8544008526951075,1.8611455401405692,10
hydra_small,32768,10,16384,4.2077725230716165,4.207788480445743,0.0008192572345347375,4.2064438527449965,4.208976139314473,10
tabpfn,512,10,256,0.013167136069387197,0.01296973042190075,0.00037341759221412574,0.012910246849060059,0.01402630191296339,10
tabpfn,1024,10,512,0.023118800856173037,0.023039514664560556,0.00018049537001710582,0.02294264081865549,0.023450623266398907,10
tabpfn,2048,10,1024,0.049365950375795366,0.049361669924110174,4.4985346894678324e-05,0.04930412117391825,0.04946747049689293,10
tabpfn,4096,10,2048,0.12294713258743287,0.12293685460463166,0.00012891842496698437,0.12275393307209015,0.12323750834912062,10
tabpfn,8192,10,4096,0.3424849534407258,0.3424168969504535,0.00018379698625440785,0.3423064099624753,0.34292458463460207,10
tabpfn,16384,10,8192,1.1268945559859276,1.1265769116580486,0.0009589174695990136,1.126321299932897,1.1295638205483556,10
tabpfn,32768,10,16384,4.210927640553564,4.198312814347446,0.04088013572128168,4.196544433012605,4.327245767228305,10
