model,table_size,num_features,eval_position,run,status,error,synchronized_elapsed_seconds,internal_unsynchronized_seconds
tabpfn,512,100,256,1,ok,,0.3426798649597913,0.009990930557250977
hybrid_12l,512,100,256,1,ok,,0.3202074421569705,0.015592336654663086
hybrid_8l,512,100,256,1,ok,,0.3075505180750042,0.009961366653442383
hydra,512,100,256,1,ok,,0.37320021889172494,0.035253047943115234
tabpfn,512,100,256,2,ok,,0.32329609408043325,0.00962066650390625
hybrid_12l,512,100,256,2,ok,,0.3201588299125433,0.015534400939941406
hydra,512,100,256,2,ok,,0.41528997709974647,0.032625675201416016
hybrid_8l,512,100,256,2,ok,,0.3142680758610368,0.010543346405029297
tabpfn,512,100,256,3,ok,,0.32128646597266197,0.008835792541503906
hybrid_12l,512,100,256,3,ok,,0.3142284811474383,0.01489567756652832
hydra,512,100,256,3,ok,,0.37751281983219087,0.03247523307800293
hybrid_8l,512,100,256,3,ok,,0.3115702939685434,0.011033058166503906
tabpfn,512,100,256,4,ok,,0.314066895050928,0.009690999984741211
hydra,512,100,256,4,ok,,0.3811606620438397,0.0326838493347168
hybrid_12l,512,100,256,4,ok,,0.33550734212622046,0.014467716217041016
hybrid_8l,512,100,256,4,ok,,0.3096350468695164,0.010189533233642578
tabpfn,512,100,256,5,ok,,0.35068992199376225,0.009052515029907227
hybrid_8l,512,100,256,5,ok,,0.3200149859767407,0.010185718536376953
hybrid_12l,512,100,256,5,ok,,0.3130997109692544,0.01458430290222168
hydra,512,100,256,5,ok,,0.37742922082543373,0.03277134895324707
tabpfn,512,100,256,6,ok,,0.3199283208232373,0.009221315383911133
hybrid_12l,512,100,256,6,ok,,0.3148092308547348,0.014734029769897461
hydra,512,100,256,6,ok,,0.37977856188081205,0.03269767761230469
hybrid_8l,512,100,256,6,ok,,0.3087560699786991,0.010339975357055664
hybrid_8l,512,100,256,7,ok,,0.3074838798493147,0.01008749008178711
tabpfn,512,100,256,7,ok,,0.31405535200610757,0.009142637252807617
hybrid_12l,512,100,256,7,ok,,0.31498409202322364,0.014644861221313477
hydra,512,100,256,7,ok,,0.3767422989476472,0.03195381164550781
hybrid_12l,512,100,256,8,ok,,0.31392037495970726,0.01465153694152832
tabpfn,512,100,256,8,ok,,0.31161361490376294,0.009078025817871094
hybrid_8l,512,100,256,8,ok,,0.30713579896837473,0.010192155838012695
hydra,512,100,256,8,ok,,0.375718958908692,0.03298068046569824
hybrid_12l,512,100,256,9,ok,,0.31363597605377436,0.01446390151977539
hydra,512,100,256,9,ok,,0.3748236030805856,0.031749725341796875
tabpfn,512,100,256,9,ok,,0.312925289850682,0.009082317352294922
hybrid_8l,512,100,256,9,ok,,0.3086344189941883,0.010206460952758789
hybrid_12l,512,100,256,10,ok,,0.3122073591221124,0.014462947845458984
hydra,512,100,256,10,ok,,0.37995837186463177,0.03156280517578125
tabpfn,512,100,256,10,ok,,0.3305149001535028,0.009163141250610352
hybrid_8l,512,100,256,10,ok,,0.3053211299702525,0.010068655014038086
hybrid_12l,1024,100,512,1,ok,,0.4083595990668982,0.015468120574951172
tabpfn,1024,100,512,1,ok,,0.3770397200714797,0.009296655654907227
hybrid_8l,1024,100,512,1,ok,,0.3659900319762528,0.010358572006225586
hydra,1024,100,512,1,ok,,0.48614856298081577,0.03231096267700195
tabpfn,1024,100,512,2,ok,,0.3691515829414129,0.009356975555419922
hydra,1024,100,512,2,ok,,0.46602703304961324,0.03225398063659668
hybrid_8l,1024,100,512,2,ok,,0.3601751229725778,0.010150909423828125
hybrid_12l,1024,100,512,2,ok,,0.36964440695010126,0.01468038558959961
hybrid_8l,1024,100,512,3,ok,,0.36321663693524897,0.01032876968383789
hybrid_12l,1024,100,512,3,ok,,0.3759839190170169,0.014697790145874023
hydra,1024,100,512,3,ok,,0.49143164278939366,0.03222942352294922
tabpfn,1024,100,512,3,ok,,0.36911199684254825,0.009455204010009766
hybrid_12l,1024,100,512,4,ok,,0.36841378500685096,0.014658451080322266
hybrid_8l,1024,100,512,4,ok,,0.3625061600469053,0.010259628295898438
hydra,1024,100,512,4,ok,,0.4670355038251728,0.03224587440490723
tabpfn,1024,100,512,4,ok,,0.36912589194253087,0.009123563766479492
hydra,1024,100,512,5,ok,,0.4656438259407878,0.03231668472290039
hybrid_12l,1024,100,512,5,ok,,0.36998453992418945,0.014698982238769531
tabpfn,1024,100,512,5,ok,,0.3683376288972795,0.009286165237426758
hybrid_8l,1024,100,512,5,ok,,0.36010665190406144,0.01027226448059082
hybrid_12l,1024,100,512,6,ok,,0.36815736698918045,0.014564037322998047
tabpfn,1024,100,512,6,ok,,0.36956060607917607,0.009290933609008789
hydra,1024,100,512,6,ok,,0.4909940720535815,0.03196573257446289
hybrid_8l,1024,100,512,6,ok,,0.3617088671308011,0.010200977325439453
hybrid_12l,1024,100,512,7,ok,,0.36963099893182516,0.014597415924072266
tabpfn,1024,100,512,7,ok,,0.36888751992955804,0.00921320915222168
hybrid_8l,1024,100,512,7,ok,,0.3633437850512564,0.010312557220458984
hydra,1024,100,512,7,ok,,0.469610502012074,0.032328128814697266
hybrid_12l,1024,100,512,8,ok,,0.37244187388569117,0.014615535736083984
hybrid_8l,1024,100,512,8,ok,,0.36273434991016984,0.010098934173583984
tabpfn,1024,100,512,8,ok,,0.3883581350091845,0.00939321517944336
hydra,1024,100,512,8,ok,,0.46708426298573613,0.032095909118652344
hydra,1024,100,512,9,ok,,0.46571013890206814,0.031706809997558594
hybrid_8l,1024,100,512,9,ok,,0.3801048551686108,0.010080337524414062
hybrid_12l,1024,100,512,9,ok,,0.3686614208854735,0.014679193496704102
tabpfn,1024,100,512,9,ok,,0.3755087850149721,0.009832620620727539
tabpfn,1024,100,512,10,ok,,0.39327025203965604,0.009661674499511719
hybrid_12l,1024,100,512,10,ok,,0.48368064081296325,0.016037940979003906
hydra,1024,100,512,10,ok,,0.492130622966215,0.03280353546142578
hybrid_8l,1024,100,512,10,ok,,0.360548737924546,0.010362863540649414
hybrid_12l,2048,100,1024,1,ok,,0.49675545608624816,0.014695167541503906
tabpfn,2048,100,1024,1,ok,,0.4863665699958801,0.009390592575073242
hydra,2048,100,1024,1,ok,,0.6739669339731336,0.03201460838317871
hybrid_8l,2048,100,1024,1,ok,,0.4690109919756651,0.010320663452148438
hydra,2048,100,1024,2,ok,,0.6833819749299437,0.031749725341796875
tabpfn,2048,100,1024,2,ok,,0.48276082589291036,0.009456634521484375
hybrid_12l,2048,100,1024,2,ok,,0.48491009906865656,0.014961004257202148
hybrid_8l,2048,100,1024,2,ok,,0.4686003429815173,0.010368824005126953
hydra,2048,100,1024,3,ok,,0.7356261508539319,0.03152823448181152
hybrid_12l,2048,100,1024,3,ok,,0.48482813290320337,0.014717817306518555
hybrid_8l,2048,100,1024,3,ok,,0.4689230539370328,0.010310173034667969
tabpfn,2048,100,1024,3,ok,,0.4842510889284313,0.009497642517089844
hybrid_8l,2048,100,1024,4,ok,,0.47227180912159383,0.010534524917602539
hydra,2048,100,1024,4,ok,,0.7208816600032151,0.031719207763671875
hybrid_12l,2048,100,1024,4,ok,,0.48133619502186775,0.014653682708740234
tabpfn,2048,100,1024,4,ok,,0.48722956189885736,0.00929880142211914
hybrid_12l,2048,100,1024,5,ok,,0.48366302298381925,0.014761924743652344
hydra,2048,100,1024,5,ok,,0.7187102150637656,0.03185749053955078
tabpfn,2048,100,1024,5,ok,,0.4855228569358587,0.009527444839477539
hybrid_8l,2048,100,1024,5,ok,,0.46729227202013135,0.010445594787597656
tabpfn,2048,100,1024,6,ok,,0.4849896370433271,0.009328126907348633
hybrid_8l,2048,100,1024,6,ok,,0.47230352694168687,0.010317802429199219
hybrid_12l,2048,100,1024,6,ok,,0.5639067748561502,0.014841318130493164
hydra,2048,100,1024,6,ok,,0.7160344119183719,0.03212904930114746
tabpfn,2048,100,1024,7,ok,,0.4872022981289774,0.009521722793579102
hybrid_12l,2048,100,1024,7,ok,,0.4826979320496321,0.014949560165405273
