model,checkpoint,epoch,path,did,mean_metric,split_1_metric,split_2_metric,split_3_metric,split_4_metric,split_5_metric
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,11,0.984191644191742,0.9891405701637268,0.9743767380714417,0.9823530316352844,0.9831043481826782,0.9919835329055786
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,14,0.9508668899536132,0.9511507749557495,0.952182948589325,0.9453108310699463,0.953161895275116,0.9525279998779297
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,15,0.9917456865310669,0.9901953339576721,0.9909173846244812,0.9914911389350891,0.991647481918335,0.9944770932197571
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,16,0.988299298286438,0.9816846251487732,0.9916107654571533,0.9890865683555603,0.9939009547233582,0.985213577747345
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,18,0.9413106203079223,0.9368863105773926,0.947294294834137,0.9434317946434021,0.9383627772331238,0.9405779242515564
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,22,0.964345109462738,0.9539663195610046,0.9702345132827759,0.9625672101974487,0.9741783142089844,0.9607791900634766
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,23,0.6936423182487488,0.6882055997848511,0.6947049498558044,0.6707226634025574,0.7071596384048462,0.7074187397956848
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,29,0.9252731561660766,0.9396007061004639,0.929826557636261,0.9103479385375977,0.9138275980949402,0.9327629804611206
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,31,0.7834570527076721,0.7816507816314697,0.7808660864830017,0.7796162962913513,0.7883138656616211,0.7868382334709167
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,37,0.8190043687820434,0.788365364074707,0.8231146931648254,0.8280723690986633,0.8141995668411255,0.841269850730896
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,50,0.9192624449729919,0.9107331037521362,0.9263470768928528,0.9244564175605774,0.9138445258140564,0.9209311008453369
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,54,0.9236006379127503,0.9276901483535767,0.9290204048156738,0.9231943488121033,0.9242222905158997,0.9138759970664978
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,188,0.8969187140464783,0.894015371799469,0.9004002809524536,0.8923640251159668,0.9094273447990417,0.8883865475654602
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,458,0.9998931407928466,0.999992847442627,0.999993085861206,0.9997006058692932,0.9999794960021973,0.9997996687889099
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,469,0.589888083934784,0.5861802697181702,0.5937111377716064,0.5893534421920776,0.5777971148490906,0.6023984551429749
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,1049,0.9075833439826966,0.8863435387611389,0.9233903288841248,0.9129955768585205,0.9003225564956665,0.914864718914032
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,1050,0.811759090423584,0.8247411251068115,0.826450765132904,0.800603985786438,0.7847225069999695,0.8222770690917969
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,1063,0.8140719056129455,0.8544076085090637,0.7899526357650757,0.7911076545715332,0.8380662202835083,0.7968254089355469
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,1068,0.8427966117858887,0.8648123741149902,0.8874658346176147,0.7808300852775574,0.8323578238487244,0.8485169410705566
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,1462,1.0,1.0,1.0,1.0,1.0,1.0
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,1464,0.7560304880142212,0.7693252563476562,0.7243348956108093,0.7591957449913025,0.7635676860809326,0.7637288570404053
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,1480,0.7183040857315064,0.7071362137794495,0.7185472846031189,0.7434486746788025,0.7498065233230591,0.6725817322731018
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,1494,0.9229136228561401,0.9167420864105225,0.9369224309921265,0.9079590439796448,0.9289596080780029,0.923984944820404
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,1510,0.9959082484245301,0.9989584684371948,0.9963026642799377,0.9889250993728638,0.9978358745574951,0.9975191354751587
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,6332,0.7971602082252502,0.811188817024231,0.7720929980278015,0.841320812702179,0.8000441193580627,0.761154294013977
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,23381,0.5046543896198272,0.5269360542297363,0.45408162474632263,0.5884353518486023,0.44035089015960693,0.5134680271148682
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,40966,0.9991482257843017,0.9991041421890259,0.9989616274833679,0.9998717904090881,0.9988673329353333,0.9989362359046936
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,40975,0.9810945391654968,0.9814696907997131,0.9868186116218567,0.9785192608833313,0.9651957750320435,0.9934693574905396
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,40982,0.9369684219360351,0.9522115588188171,0.9361757636070251,0.9247129559516907,0.9479627013206482,0.9237791299819946
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,40994,0.9231382608413696,0.9291256070137024,0.9224706888198853,0.9181910753250122,0.9034552574157715,0.9424486756324768
hybrid_8_layers,epoch_40,40.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_40.cpkt,11,0.9925961017608642,0.9985362887382507,0.9871538281440735,0.9918229579925537,0.9906771183013916,0.9947903156280518
hybrid_8_layers,epoch_40,40.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_40.cpkt,14,0.9616928815841674,0.9611079692840576,0.9623423218727112,0.956638514995575,0.9641945362091064,0.9641810655593872
hybrid_8_layers,epoch_40,40.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_40.cpkt,15,0.9930141687393188,0.9926370978355408,0.9923614859580994,0.9920634627342224,0.9932183623313904,0.9947904348373413
hybrid_8_layers,epoch_40,40.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_40.cpkt,16,0.9916300892829895,0.9879496097564697,0.9917869567871094,0.9911110401153564,0.9965819120407104,0.9907209277153015
hybrid_8_layers,epoch_40,40.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_40.cpkt,18,0.9554996252059936,0.9557737708091736,0.9526616334915161,0.9558964967727661,0.9547488689422607,0.9584173560142517
hybrid_8_layers,epoch_40,40.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_40.cpkt,22,0.9718704581260681,0.9643316864967346,0.9739421010017395,0.9682736396789551,0.9801290035247803,0.9726758599281311
