did,dataset_name,model,num_samples,num_features,configured_eval_position,real_eval_position,inference_mean,inference_median,inference_std,inference_min,inference_max,end_to_end_mean,end_to_end_median,count,mean_metric
11,balance-scale,hybrid_8l,625,4,972,312,0.014785170493026575,0.014708985574543476,0.00035566141756270144,0.014421611092984676,0.01655763853341341,0.04300349084039529,0.03888261504471302,75,0.9942990899085998
11,balance-scale,hydra,625,4,972,312,0.02203835602849722,0.021981417201459408,0.00026875126226605454,0.02170677576214075,0.023148197680711746,0.0519331448401014,0.04659893922507763,75,0.9865081906318665
11,balance-scale,looped_transformer_6physical_core4x2,625,4,972,312,0.017186606240769228,0.017013532109558582,0.0005984662915877427,0.01684965193271637,0.021183143369853497,0.04501123653103908,0.040763369761407375,75,0.9963193655014038
11,balance-scale,tabpfn,625,4,972,312,0.02018472025791804,0.020146068185567856,0.00020843260220897178,0.019950528629124165,0.021354317665100098,0.04978103301177422,0.044930425472557545,75,0.9973952293395996
14,mfeat-fourier,hybrid_8l,2000,76,972,512,0.041732892530659836,0.04181897919625044,0.0008160109182783145,0.0348714143037796,0.04221141338348389,0.35352921015272537,0.34960009437054396,75,0.9725027084350586
14,mfeat-fourier,hydra,2000,76,972,512,0.06420691542327404,0.06436080392450094,0.0012245365478931896,0.0538245914503932,0.06475058291107416,0.38012238589425884,0.3739031217992306,75,0.95686274766922
14,mfeat-fourier,looped_transformer_6physical_core4x2,2000,76,972,512,0.04767145020266374,0.04779210686683655,0.0009306071554610195,0.039883882738649845,0.04832020867615938,0.35999455345173675,0.3554101213812828,75,0.9739287495613098
14,mfeat-fourier,tabpfn,2000,76,972,512,0.05641612326105436,0.05663040466606617,0.0013642742513998531,0.047296229749917984,0.05713226739317179,0.36959630171457925,0.36589721869677305,75,0.9734832048416138
15,breast-w,hybrid_8l,683,9,972,341,0.014381398347516854,0.014273096807301044,0.0006926836991330697,0.013189874589443207,0.01877400651574135,0.056903365068137646,0.05490398220717907,75,0.9931215286254883
15,breast-w,hydra,683,9,972,341,0.020144937013586363,0.0201093265786767,0.000645114835462168,0.018534403294324875,0.02190471813082695,0.06555410056064526,0.0613894322887063,75,0.994261109828949
15,breast-w,looped_transformer_6physical_core4x2,683,9,972,341,0.017234884512921173,0.01729089580476284,0.0004839878602908349,0.01588655449450016,0.018094709143042564,0.05966692350804806,0.05727882217615843,75,0.9943786263465881
15,breast-w,tabpfn,683,9,972,341,0.020338400676846505,0.020420397631824017,0.00046848831859660947,0.018819471821188927,0.020977442152798176,0.06654562499374152,0.06234950199723244,75,0.99424889087677
16,mfeat-karhunen,hybrid_8l,2000,64,972,512,0.04182796884328127,0.04181565996259451,0.00017828653874905767,0.04157910216599703,0.042480687610805035,0.3070859674861034,0.29998501762747765,75,0.9960234880447387
16,mfeat-karhunen,hydra,2000,64,972,512,0.0643386020263036,0.06433509197086096,0.00015407371582939138,0.06411771290004253,0.06470990367233753,0.3326179948573311,0.32528045400977135,75,0.9893666505813599
16,mfeat-karhunen,looped_transformer_6physical_core4x2,2000,64,972,512,0.04774557258933783,0.04773884266614914,0.0001904046573655772,0.04747002571821213,0.048257967457175255,0.3154031009723743,0.3062029732391238,75,0.9968925356864929
16,mfeat-karhunen,tabpfn,2000,64,972,512,0.056622581717868645,0.05660164635628462,0.00020194350615017353,0.05631479620933533,0.05736258905380964,0.3219466541831692,0.3160723280161619,75,0.9964430451393127
18,mfeat-morphological,hybrid_8l,2000,6,972,512,0.03630653886745373,0.03499289881438017,0.0026791507815155306,0.03476694040000439,0.04212647583335638,0.11911327061553796,0.09848291613161564,75,0.9637098550796509
18,mfeat-morphological,hydra,2000,6,972,512,0.05594434581696987,0.053934020921587944,0.0040580393983224005,0.05362984351813793,0.06556878704577684,0.14354464108745257,0.11838862858712673,75,0.9585461616516113
18,mfeat-morphological,looped_transformer_6physical_core4x2,2000,6,972,512,0.04132501122852166,0.03986089304089546,0.00305251999146258,0.0395565265789628,0.04817890375852585,0.12960108403116466,0.10499896481633186,75,0.9631436586380004
