did,dataset_name,model,num_samples,num_features,eval_position,mean,median,std,min,max,count,mean_metric
11,balance-scale,hybrid_8l,625,4,972,0.03834015130996704,0.038179763592779636,0.0009581885804373405,0.03717619739472866,0.040402489714324474,10,0.9950213968753815
11,balance-scale,hydra,625,4,972,0.046758342627435924,0.04631024086847901,0.001467425583025576,0.04529722221195698,0.049140662886202335,10,0.9881374418735505
11,balance-scale,tabpfn,625,4,972,0.045291202049702405,0.04426947422325611,0.0024594168032485765,0.04339926689863205,0.05100364238023758,10,0.9982399642467499
14,mfeat-fourier,hybrid_8l,2000,76,972,0.34886640617623926,0.3450670577585697,0.0181190449088589,0.336242850869894,0.3990867929533124,10,0.9739041447639465
14,mfeat-fourier,hydra,2000,76,972,0.3644053000956774,0.3675360884517431,0.007571904006640518,0.3486323719844222,0.37116672098636627,10,0.9602766454219818
14,mfeat-fourier,tabpfn,2000,76,972,0.36221622982993723,0.35954085644334555,0.01461280435390186,0.3427825290709734,0.39286038745194674,10,0.9758160233497619
15,breast-w,hybrid_8l,683,9,972,0.053329395689070226,0.0537385824136436,0.0019138337179296098,0.04931143578141928,0.05602764990180731,10,0.9938019812107086
15,breast-w,hydra,683,9,972,0.05973495943471789,0.05967964744195342,0.0027416013514180034,0.055563630536198616,0.0663601029664278,10,0.9946715533733368
15,breast-w,tabpfn,683,9,972,0.05976021327078342,0.06013977434486151,0.001668389325463375,0.05609052907675505,0.06200180668383837,10,0.9946802496910095
16,mfeat-karhunen,hybrid_8l,2000,64,972,0.29892318323254585,0.29517530277371407,0.008695909284403657,0.29269746877253056,0.3219749918207526,10,0.996644526720047
16,mfeat-karhunen,hydra,2000,64,972,0.3218597083352506,0.31940438179299235,0.008541291904428872,0.3150853402912617,0.34529819525778294,10,0.9898910403251648
16,mfeat-karhunen,tabpfn,2000,64,972,0.31415465101599693,0.31198484590277076,0.007067809115948304,0.31054448802024126,0.33394796401262283,10,0.9967858254909515
18,mfeat-morphological,hybrid_8l,2000,6,972,0.10228707743808627,0.09657738218083978,0.010482974966967639,0.09401417151093483,0.12353756092488766,10,0.9640418767929078
18,mfeat-morphological,hydra,2000,6,972,0.11790775824338198,0.11498311534523964,0.0059281117842783235,0.11366831418126822,0.13049596175551414,10,0.9580568790435791
18,mfeat-morphological,tabpfn,2000,6,972,0.11120057497173548,0.10833953879773617,0.006235900384507476,0.10739721357822418,0.12436875514686108,10,0.9638351798057556
22,mfeat-zernike,hybrid_8l,2000,47,972,0.2492315442301333,0.2507254262454808,0.005124376423627723,0.23990541882812977,0.2546657510101795,10,0.9806607663631439
22,mfeat-zernike,hydra,2000,47,972,0.27586410716176035,0.2756779766641557,0.008918941055695196,0.2599696386605501,0.2945202626287937,10,0.9679798185825348
22,mfeat-zernike,tabpfn,2000,47,972,0.2764552026055753,0.27328375028446317,0.01648756657495235,0.25404082611203194,0.31481609027832747,10,0.9822420656681061
23,cmc,hybrid_8l,1473,9,972,0.06722200997173786,0.06517945602536201,0.006296358939564724,0.06228140648454428,0.08395459409803152,10,0.7067497134208679
23,cmc,hydra,1473,9,972,0.07910681050270796,0.07729056943207979,0.0042684320537338385,0.07447986491024494,0.08584078680723906,10,0.693117642402649
23,cmc,tabpfn,1473,9,972,0.08745839148759842,0.07640902511775494,0.020519316154957286,0.07145509496331215,0.12796039879322052,10,0.71231809258461
29,credit-approval,hybrid_8l,653,15,972,0.07338326275348664,0.07088286615908146,0.00942541898467043,0.06680829171091318,0.09958209842443466,10,0.9266764163970947
29,credit-approval,hydra,653,15,972,0.07844656659290195,0.07694760523736477,0.007566884458097476,0.07233088370412588,0.09911064617335796,10,0.9306684970855713
29,credit-approval,tabpfn,653,15,972,0.07713843956589699,0.07438260689377785,0.007110656744597872,0.07227367535233498,0.0961871175095439,10,0.9334944903850555
31,credit-g,hybrid_8l,1000,20,972,0.09912175098434091,0.09830106236040592,0.002388198163406409,0.09718559961766005,0.10454675368964672,10,0.7921678781509399
31,credit-g,hydra,1000,20,972,0.10932401828467846,0.10705781169235706,0.005516684396373879,0.10572666954249144,0.12018431723117828,10,0.7798248171806336
31,credit-g,tabpfn,1000,20,972,0.10772186415269971,0.10750260343775153,0.0015717773874520998,0.10518398135900497,0.11071361601352692,10,0.7920601189136505
37,diabetes,hybrid_8l,768,8,972,0.0534111556597054,0.05193408997729421,0.005360636353829968,0.049668933264911175,0.06788566336035728,10,0.825547742843628
37,diabetes,hydra,768,8,972,0.05977038340643048,0.05996566452085972,0.002138154761819755,0.055959390476346016,0.06319452542811632,10,0.834808099269867
37,diabetes,tabpfn,768,8,972,0.06307223374024033,0.05945468693971634,0.013287319618360495,0.05583147797733545,0.10058258473873138,10,0.8359449207782745
50,tic-tac-toe,hybrid_8l,958,9,972,0.05668706549331546,0.056844571605324745,0.001191159964899312,0.054662243463099,0.058270267210900784,10,0.9644876956939697
50,tic-tac-toe,hydra,958,9,972,0.06763037238270045,0.06580894393846393,0.005613105649621009,0.06268502119928598,0.08116177283227444,10,0.8010968506336212
50,tic-tac-toe,tabpfn,958,9,972,0.06526430221274496,0.06536784349009395,0.0011424332615762225,0.06375659070909023,0.06703640427440405,10,0.9725439786911011
54,vehicle,hybrid_8l,846,18,972,0.11101740170270205,0.1050629261881113,0.013454931047901726,0.10204054601490498,0.14247740991413593,10,0.9502899348735809
54,vehicle,hydra,846,18,972,0.12395746698603034,0.11950224125757813,0.01525790700479921,0.11755616869777441,0.16726986691355705,10,0.9275891005992889
54,vehicle,tabpfn,846,18,972,0.12323013916611672,0.11707040388137102,0.020734465965228547,0.11272038798779249,0.1815217062830925,10,0.9582539141178131
188,eucalyptus,hybrid_8l,641,19,972,0.10544006638228894,0.10273469658568501,0.005646471091048157,0.10092146601527929,0.11917346250265837,10,0.9109331607818604
188,eucalyptus,hydra,641,19,972,0.11811434142291546,0.11835154565051198,0.001168550300749055,0.11659212317317724,0.11997212562710047,10,0.9012609660625458
188,eucalyptus,tabpfn,641,19,972,0.11621048767119646,0.11302705388516188,0.00914972938366816,0.11216764152050018,0.14207813329994678,10,0.9147252678871155
458,analcatdata_authorship,hybrid_8l,841,70,972,0.29368430664762857,0.28498470643535256,0.028805296948203437,0.2759666331112385,0.374164380133152,10,0.9999926626682282
458,analcatdata_authorship,hydra,841,70,972,0.3024872331880033,0.29953833296895027,0.012833281913169094,0.2914777882397175,0.3366313660517335,10,0.9999144673347473
458,analcatdata_authorship,tabpfn,841,70,972,0.3075978534296155,0.29812692385166883,0.0276125481998932,0.28882648423314095,0.3825368098914623,10,0.9999949157238006
469,analcatdata_dmft,hybrid_8l,797,4,972,0.06378076085820794,0.06272527249529958,0.0026828924655048127,0.060902695171535015,0.06810472812503576,10,0.5810941994190216
