did,dataset_name,model,num_samples,num_features,configured_eval_position,real_eval_position,split_number,timing_repetition,status,error,synchronized_elapsed_seconds,synchronized_model_inference_seconds,mean_metric
11,balance-scale,hybrid_12l,625,4,972,312,1,1,ok,,0.04500192031264305,0.02134298626333475,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,1,ok,,0.03794031124562025,0.014862929470837116,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,2,ok,,0.04526714235544205,0.021349899470806122,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,2,ok,,0.03746447991579771,0.014812151901423931,0.9938496947288513
11,balance-scale,pure_hydra_8l,625,4,972,312,1,3,ok,,0.03871496859937906,0.015618761070072651,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,3,ok,,0.04546355456113815,0.02161159459501505,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,4,ok,,0.03758647106587887,0.014858962036669254,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,4,ok,,0.045346492901444435,0.02136923559010029,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,5,ok,,0.03842187486588955,0.01559340301901102,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,5,ok,,0.04497492965310812,0.021319751627743244,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,6,ok,,0.03770984522998333,0.014815269038081169,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,6,ok,,0.0786138316616416,0.02144385688006878,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,7,ok,,0.03820642549544573,0.015222580172121525,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,7,ok,,0.04530465416610241,0.021331745199859142,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,8,ok,,0.0374958785250783,0.014791402965784073,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,8,ok,,0.045609732158482075,0.021494222804903984,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,9,ok,,0.03831921983510256,0.014872736297547817,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,9,ok,,0.045172483660280704,0.021325182169675827,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,10,ok,,0.037568215280771255,0.014800010249018669,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,10,ok,,0.04544462822377682,0.021325203590095043,0.9995162487030029
11,balance-scale,hybrid_12l,625,4,972,312,1,11,ok,,0.04492065589874983,0.021304271183907986,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,11,ok,,0.03761807084083557,0.014845897443592548,0.9938496947288513
11,balance-scale,pure_hydra_8l,625,4,972,312,1,12,ok,,0.03809922281652689,0.015310327522456646,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,12,ok,,0.04503273870795965,0.021316216327250004,0.9995162487030029
11,balance-scale,hybrid_12l,625,4,972,312,1,13,ok,,0.04534066189080477,0.021481449715793133,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,13,ok,,0.03764268849045038,0.014820429496467113,0.9938496947288513
11,balance-scale,pure_hydra_8l,625,4,972,312,1,14,ok,,0.03784783557057381,0.015227971598505974,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,14,ok,,0.045573542825877666,0.021341733634471893,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,15,ok,,0.038099623285233974,0.014951135963201523,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,15,ok,,0.04540397226810455,0.021445621736347675,0.9995162487030029
11,balance-scale,hybrid_12l,625,4,972,312,1,16,ok,,0.04561498202383518,0.021789011545479298,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,16,ok,,0.08324508555233479,0.015198244713246822,0.9938496947288513
11,balance-scale,pure_hydra_8l,625,4,972,312,1,17,ok,,0.04097194503992796,0.015002373605966568,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,17,ok,,0.0454049538820982,0.02139335125684738,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,18,ok,,0.03835958614945412,0.01523912325501442,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,18,ok,,0.0450940253213048,0.021331263706088066,0.9995162487030029
11,balance-scale,hybrid_12l,625,4,972,312,1,19,ok,,0.0861613005399704,0.02188420109450817,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,19,ok,,0.08633878640830517,0.015138831920921803,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,20,ok,,0.09952427819371223,0.02223401516675949,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,20,ok,,0.03981051500886679,0.015332268550992012,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,21,ok,,0.047297979705035686,0.021787699311971664,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,21,ok,,0.04191239643841982,0.015089728869497776,0.9938496947288513
11,balance-scale,pure_hydra_8l,625,4,972,312,1,22,ok,,0.038125681690871716,0.014860854484140873,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,22,ok,,0.04604148957878351,0.021582458168268204,0.9995162487030029
11,balance-scale,hybrid_12l,625,4,972,312,1,23,ok,,0.04553248453885317,0.021370879374444485,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,23,ok,,0.038563381880521774,0.015143370255827904,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,24,ok,,0.05499129556119442,0.021415693685412407,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,24,ok,,0.03757395688444376,0.014806753024458885,0.9938496947288513
11,balance-scale,pure_hydra_8l,625,4,972,312,1,25,ok,,0.037793091498315334,0.014945967122912407,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,25,ok,,0.04498557839542627,0.021301086992025375,0.9995162487030029
11,balance-scale,hybrid_12l,625,4,972,312,1,26,ok,,0.04495081305503845,0.02137481700628996,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,26,ok,,0.037941694259643555,0.01482380460947752,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,27,ok,,0.04490911494940519,0.021299262531101704,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,27,ok,,0.03807689994573593,0.015001190826296806,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,28,ok,,0.045223839581012726,0.02157203946262598,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,28,ok,,0.03745883982628584,0.014798636548221111,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,29,ok,,0.04503866005688906,0.021301387809216976,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,29,ok,,0.0823453301563859,0.014897795394062996,0.9938496947288513
11,balance-scale,hybrid_12l,625,4,972,312,1,30,ok,,0.04529997520148754,0.02158119808882475,0.9995162487030029
11,balance-scale,pure_hydra_8l,625,4,972,312,1,30,ok,,0.03764259722083807,0.014804268255829811,0.9938496947288513
11,balance-scale,pure_hydra_8l,625,4,972,312,2,1,ok,,0.041372534818947315,0.014805209822952747,0.9768527746200562
11,balance-scale,hybrid_12l,625,4,972,312,2,1,ok,,0.046291262842714787,0.021475326269865036,0.994030237197876
11,balance-scale,hybrid_12l,625,4,972,312,2,2,ok,,0.045520734041929245,0.02129621710628271,0.994030237197876
11,balance-scale,pure_hydra_8l,625,4,972,312,2,2,ok,,0.038388350047171116,0.014787375926971436,0.9768527746200562
11,balance-scale,hybrid_12l,625,4,972,312,2,3,ok,,0.045562030747532845,0.0213012071326375,0.994030237197876
11,balance-scale,pure_hydra_8l,625,4,972,312,2,3,ok,,0.038258605636656284,0.014899238012731075,0.9768527746200562
11,balance-scale,hybrid_12l,625,4,972,312,2,4,ok,,0.04552012216299772,0.02127762231975794,0.994030237197876
11,balance-scale,pure_hydra_8l,625,4,972,312,2,4,ok,,0.038621763698756695,0.015116759575903416,0.9768527746200562
11,balance-scale,pure_hydra_8l,625,4,972,312,2,5,ok,,0.045741732232272625,0.015002143569290638,0.9768527746200562
11,balance-scale,hybrid_12l,625,4,972,312,2,5,ok,,0.08791552390903234,0.022130277007818222,0.994030237197876
11,balance-scale,hybrid_12l,625,4,972,312,2,6,ok,,0.05775693617761135,0.021849035285413265,0.994030237197876
11,balance-scale,pure_hydra_8l,625,4,972,312,2,6,ok,,0.03876777924597263,0.014845405705273151,0.9768527746200562
11,balance-scale,hybrid_12l,625,4,972,312,2,7,ok,,0.046327280811965466,0.02145957760512829,0.994030237197876
11,balance-scale,pure_hydra_8l,625,4,972,312,2,7,ok,,0.05073521286249161,0.014987215399742126,0.9768527746200562
11,balance-scale,pure_hydra_8l,625,4,972,312,2,8,ok,,0.03926493041217327,0.015172995626926422,0.9768527746200562
11,balance-scale,hybrid_12l,625,4,972,312,2,8,ok,,0.05006251856684685,0.021431082859635353,0.994030237197876
11,balance-scale,hybrid_12l,625,4,972,312,2,9,ok,,0.04613613896071911,0.02149875182658434,0.994030237197876
11,balance-scale,pure_hydra_8l,625,4,972,312,2,9,ok,,0.039053129963576794,0.015368967317044735,0.9768527746200562
11,balance-scale,pure_hydra_8l,625,4,972,312,2,10,ok,,0.03860613331198692,0.014828394167125225,0.9768527746200562
11,balance-scale,hybrid_12l,625,4,972,312,2,10,ok,,0.04715497046709061,0.022002827376127243,0.994030237197876
11,balance-scale,pure_hydra_8l,625,4,972,312,2,11,ok,,0.03899587132036686,0.015193616040050983,0.9768527746200562
11,balance-scale,hybrid_12l,625,4,972,312,2,11,ok,,0.046088799834251404,0.021484815515577793,0.994030237197876
11,balance-scale,hybrid_12l,625,4,972,312,2,12,ok,,0.04631562903523445,0.02138540707528591,0.994030237197876
11,balance-scale,pure_hydra_8l,625,4,972,312,2,12,ok,,0.03868592344224453,0.01517414953559637,0.9768527746200562
11,balance-scale,hybrid_12l,625,4,972,312,2,13,ok,,0.04604401346296072,0.021467702463269234,0.994030237197876
