did,dataset_name,model,num_samples,num_features,configured_eval_position,real_eval_position,inference_mean,inference_median,inference_std,inference_min,inference_max,end_to_end_mean,end_to_end_median,count,mean_metric
11,balance-scale,hybrid_12l,625,4,972,312,0.02186263373742501,0.02143048169091344,0.0012950637030108563,0.02127762231975794,0.02829722221940756,0.05632526724909743,0.04632198577746749,150,0.9958148241043091
11,balance-scale,pure_hydra_8l,625,4,972,312,0.01527087134619554,0.014901572372764349,0.000880064502934908,0.014787105843424797,0.018849712796509266,0.048757308423519136,0.03899394255131483,150,0.9844953298568726
14,mfeat-fourier,hybrid_12l,2000,76,972,512,0.061511103510856625,0.06155654415488243,0.001207302832458877,0.05170151311904192,0.0666448250412941,0.4256906036225458,0.36929817544296384,150,0.9744333267211914
14,mfeat-fourier,pure_hydra_8l,2000,76,972,512,0.04320958788817127,0.04325562668964267,0.0007529221661620825,0.036611173301935196,0.04387441463768482,0.40406706222022576,0.34901540633291006,150,0.9537476420402526
15,breast-w,hybrid_12l,683,9,972,341,0.020800800677388907,0.020702446810901165,0.00032059760795449083,0.020617881789803505,0.023598569445312023,0.07031817947203914,0.062363206408917904,150,0.9932892680168152
15,breast-w,pure_hydra_8l,683,9,972,341,0.013790849323074023,0.013668782077729702,0.00038883697893846516,0.013578525744378567,0.015951480716466904,0.06094962400694688,0.05403183260932565,150,0.9935322284698487
16,mfeat-karhunen,hybrid_12l,2000,64,972,512,0.0616736220009625,0.061649945098906755,0.00014869831325411525,0.06147125270217657,0.06231667287647724,0.35371153904125097,0.3218281175941229,150,0.997001051902771
16,mfeat-karhunen,pure_hydra_8l,2000,64,972,512,0.0433412410505116,0.043301613070070744,0.00013066057460000126,0.04319631867110729,0.04419475980103016,0.33645549411575,0.30208552116528153,150,0.9882336735725403
18,mfeat-morphological,hybrid_12l,2000,6,972,512,0.0535871984064579,0.05169593635946512,0.0038718176477429353,0.051497215405106544,0.06474619638174772,0.1434534870957335,0.11801224108785391,150,0.9639894962310791
18,mfeat-morphological,pure_hydra_8l,2000,6,972,512,0.037537794566402834,0.03631000639870763,0.002617058419635545,0.03622356802225113,0.043524760752916336,0.12608579702054462,0.09903872990980744,150,0.9564136266708374
22,mfeat-zernike,hybrid_12l,2000,47,972,512,0.06156397857392828,0.06172267207875848,0.00145337160582482,0.0514812245965004,0.0626489706337452,0.2867396043675641,0.27344574965536594,150,0.982047438621521
22,mfeat-zernike,pure_hydra_8l,2000,47,972,512,0.043272768544654054,0.043356836307793856,0.0010199335046375824,0.036235760897397995,0.044058430939912796,0.26393313772355514,0.2540826788172126,150,0.9645950198173523
23,cmc,hybrid_12l,1473,9,972,512,0.03301151155804594,0.03281402820721269,0.0008803848392420419,0.03257955331355333,0.03940662834793329,0.08072956535344322,0.07732897391542792,150,0.7061326146125794
23,cmc,pure_hydra_8l,1473,9,972,512,0.022757597441474597,0.02257907297462225,0.0006537923287439427,0.02248064149171114,0.02733449637889862,0.06846695794413488,0.06551692076027393,150,0.6870081305503846
29,credit-approval,hybrid_12l,653,15,972,326,0.02051274142538508,0.020465783774852753,0.0007480884674139904,0.01721235830336809,0.024660691618919373,0.09113812826573849,0.08134760661050677,150,0.9310877561569214
29,credit-approval,pure_hydra_8l,653,15,972,326,0.013542731323589881,0.013457405380904675,0.000493458144603209,0.011750862933695316,0.01717882603406906,0.08149255146582922,0.07303680665791035,150,0.9335955142974853
31,credit-g,hybrid_12l,1000,20,972,500,0.028574018888175488,0.028497665654867887,0.0002716654292119077,0.028289745561778545,0.030399752780795097,0.11897498950983088,0.11019995482638478,150,0.7861212611198425
31,credit-g,pure_hydra_8l,1000,20,972,500,0.018898546068618696,0.018831987865269184,0.0002611149424829916,0.018686803057789803,0.020943347364664078,0.10909955558056633,0.0996459941379726,150,0.780872356891632
37,diabetes,hybrid_12l,768,8,972,384,0.02226474424203237,0.022140280809253454,0.00039656152441276953,0.021781496703624725,0.0251336470246315,0.06157739978904526,0.05998566094785929,150,0.8163743734359741
37,diabetes,pure_hydra_8l,768,8,972,384,0.014990226247658332,0.014924745075404644,0.00019006507917283656,0.014674702659249306,0.01575271412730217,0.05209284876783689,0.051277472637593746,150,0.8439865708351135
50,tic-tac-toe,hybrid_12l,958,9,972,479,0.024557594737658898,0.024481626693159342,0.001203283259789073,0.022813942283391953,0.02705516666173935,0.06512291468059023,0.06492414139211178,150,0.9739414811134338
50,tic-tac-toe,pure_hydra_8l,958,9,972,479,0.016429097571720678,0.01644314732402563,0.0007808138361957049,0.015257746912539005,0.018188719637691975,0.05556947476541003,0.05534298485144973,150,0.8087807416915893
54,vehicle,hybrid_12l,846,18,972,423,0.041520785291989645,0.04281677817925811,0.0019051905157370552,0.03862891439348459,0.044332148507237434,0.1249790197238326,0.11788222845643759,150,0.9548385620117188
54,vehicle,pure_hydra_8l,846,18,972,423,0.02860460787390669,0.028476609848439693,0.0013602420882377843,0.026851852424442768,0.03169490862637758,0.11108827032769719,0.10299485782161355,150,0.9173920154571533
188,eucalyptus,hybrid_12l,641,19,972,320,0.04037635227665305,0.040867630392313004,0.00105362963453882,0.038089651614427567,0.04243353195488453,0.13190194737787048,0.11815020022913814,150,0.9124202132225037
188,eucalyptus,pure_hydra_8l,641,19,972,320,0.028199587805817525,0.028553566429764032,0.0007094066784702252,0.026656421832740307,0.02931771334260702,0.11824580039208134,0.10497907269746065,150,0.8918994307518006
458,analcatdata_authorship,hybrid_12l,841,70,972,420,0.043026955804477136,0.043042344972491264,0.0003615094439302244,0.0408916799351573,0.04374927468597889,0.3166938768265148,0.3015719698742032,150,0.9999928593635559
458,analcatdata_authorship,pure_hydra_8l,841,70,972,420,0.02977796083316207,0.029781367164105177,0.000244148987882593,0.02833208627998829,0.030352172441780567,0.3006166845560074,0.28675344586372375,150,0.9999284505844116
469,analcatdata_dmft,hybrid_12l,797,4,972,398,0.04242541247357925,0.042329664807766676,0.0007044798563774281,0.042185802944004536,0.05072504002600908,0.08230967786783973,0.07836963469162583,150,0.5827410578727722
469,analcatdata_dmft,pure_hydra_8l,797,4,972,398,0.029560358648498854,0.02943224599584937,0.0005825700996867999,0.02932349406182766,0.03510477673262358,0.06851294516275326,0.06414080690592527,150,0.5278188943862915
1049,pc4,hybrid_12l,1458,37,972,512,0.028575757866104445,0.02865228708833456,0.0009216828660887273,0.023768549785017967,0.03148560132831335,0.18620403393482168,0.17323131766170263,150,0.9299941301345825
1049,pc4,pure_hydra_8l,1458,37,972,512,0.0189658924130102,0.018944340758025646,0.0007367750040229807,0.015805134549736977,0.022821585647761822,0.18181614257395268,0.16234049946069717,150,0.9143804550170899
1050,pc3,hybrid_12l,1563,37,972,512,0.02866338297103842,0.028592624701559544,0.0001480811837637404,0.028507717885077,0.029356067068874836,0.17155697035913667,0.17000966891646385,150,0.8277077198028564
1050,pc3,pure_hydra_8l,1563,37,972,512,0.018996038623154163,0.018918692599982023,0.00017514634170634724,0.018822460435330868,0.01969408243894577,0.16225095239157478,0.1592743662185967,150,0.8155540585517883
1063,kc2,hybrid_12l,522,21,972,261,0.017498593013733625,0.017412248067557812,0.0002703290988188009,0.01719406433403492,0.018667185679078102,0.09466342454776168,0.09330696379765868,150,0.8182566404342652
1063,kc2,pure_hydra_8l,522,21,972,261,0.011744235741595428,0.011670234147459269,0.000343865206473342,0.011208124458789825,0.013162868097424507,0.08727622420837482,0.0862137796357274,150,0.8297414422035218
1068,pc1,hybrid_12l,1109,21,972,512,0.028650062109033266,0.02858273033052683,0.00018079546539905995,0.02849535271525383,0.02977737784385681,0.12365018097062906,0.11457086866721511,150,0.8737017154693604
1068,pc1,pure_hydra_8l,1109,21,972,512,0.01893456866964698,0.018890368286520243,0.00013417523356090466,0.01881606224924326,0.019543695263564587,0.11238253191734354,0.10335004981607199,150,0.8237365007400512
1462,banknote-authentication,hybrid_12l,1372,4,972,512,0.024667903780937195,0.023905161768198013,0.0016364222848438013,0.02370563242584467,0.029995308257639408,0.06436415157591303,0.05263086501508951,150,1.0
1462,banknote-authentication,pure_hydra_8l,1372,4,972,512,0.016425497345626355,0.015891109593212605,0.0011373468995289932,0.015724808908998966,0.020464829169213772,0.05554923904438813,0.04279445065185428,150,1.0
1464,blood-transfusion-service-center,hybrid_12l,748,4,972,374,0.018594032811621825,0.01829970721155405,0.0008647913727190283,0.01811865344643593,0.02211439050734043,0.04816296964262923,0.04207963868975639,150,0.7159778714179993
1464,blood-transfusion-service-center,pure_hydra_8l,748,4,972,374,0.012600053784747918,0.012335562612861395,0.0007255462554120216,0.012147676199674606,0.01630374602973461,0.04089746580769618,0.03515633335337043,150,0.7622737407684326
1480,ilpd,hybrid_12l,583,10,972,291,0.018387452978640795,0.01845285389572382,0.0009200414802713034,0.015453481115400791,0.021610520780086517,0.07169581217070421,0.06021162215620279,150,0.7264224052429199
1480,ilpd,pure_hydra_8l,583,10,972,291,0.012306827331582705,0.012258418835699558,0.00041459421168942056,0.011445442214608192,0.015798465348780155,0.06542761540040373,0.05279912892729044,150,0.7290387272834777
1494,qsar-biodeg,hybrid_12l,1055,41,972,512,0.028814222080012164,0.028685003984719515,0.000376676940457,0.02849050983786583,0.03053738921880722,0.21123321038360396,0.18752527935430408,150,0.9304375290870667
1494,qsar-biodeg,pure_hydra_8l,1055,41,972,512,0.01909595157330235,0.01894736150279641,0.00046409515191235247,0.018808187916874886,0.021904190070927143,0.20644913009678323,0.17787231970578432,150,0.917931079864502
1510,wdbc,hybrid_12l,569,30,972,284,0.01847108076016108,0.018352539744228125,0.0003552106303381244,0.01814064010977745,0.01985937263816595,0.14045627624417345,0.13066978938877583,150,0.9964748382568359
1510,wdbc,pure_hydra_8l,569,30,972,284,0.012398966066539287,0.012221270706504583,0.0005143281982207539,0.011961012147367,0.014707054011523724,0.1342622816748917,0.12464852491393685,150,0.9958757638931275
6332,cylinder-bands,hybrid_12l,277,37,972,138,0.01424703416104118,0.014180096331983805,0.0003294739600334943,0.013929423876106739,0.016627466306090355,0.12442005054404338,0.12168612005189061,150,0.7744741559028625
6332,cylinder-bands,pure_hydra_8l,277,37,972,138,0.011440373808145523,0.01134668942540884,0.00031453858613018513,0.011108020320534706,0.012562992982566357,0.12072336434697112,0.11771699599921703,150,0.7600195169448852
23381,dresses-sales,hybrid_12l,99,12,972,49,0.013915789822737376,0.013869724702090025,0.00021276515943736754,0.013540203683078289,0.01524896826595068,0.05532315479591489,0.05558502022176981,150,0.5185616552829743
23381,dresses-sales,pure_hydra_8l,99,12,972,49,0.01100835203503569,0.010933232493698597,0.00017964193502121345,0.010758846066892147,0.01174891460686922,0.051431502557049195,0.0517344125546515,150,0.4640404284000397
40966,MiceProtein,hybrid_12l,552,77,972,276,0.03697841130197048,0.03692714590579271,0.0001424701655375164,0.03679538983851671,0.037573800422251225,0.3370129568812748,0.31265517976135015,150,1.0
40966,MiceProtein,pure_hydra_8l,552,77,972,276,0.025557454967250426,0.025475893169641495,0.00032334214075259074,0.025372928008437157,0.028439849615097046,0.3268574773954848,0.3022247292101383,150,0.9930609941482544
40975,car,hybrid_12l,1728,6,972,512,0.04306704618036747,0.04287565452978015,0.000983626143827126,0.04273001290857792,0.05129140894860029,0.09067999179164568,0.08147954102605581,150,0.9860610842704773
40975,car,pure_hydra_8l,1728,6,972,512,0.029595434479415417,0.029495626222342253,0.0004930315812816746,0.029416345991194248,0.035199420526623726,0.07474498653784395,0.06673685926944017,150,0.9217308521270752
40982,steel-plates-fault,hybrid_12l,1941,27,972,512,0.05645219190046191,0.05658723134547472,0.003537676650980436,0.051438369788229465,0.06224016286432743,0.18009304884821176,0.1782374824397266,150,0.9518649220466614
40982,steel-plates-fault,pure_hydra_8l,1941,27,972,512,0.03958423043911656,0.03964140824973583,0.0024112798214456278,0.03617761004716158,0.043997074477374554,0.16090348142509658,0.15919436886906624,150,0.9083264470100403
40994,climate-model-simulation-crashes,hybrid_12l,540,18,972,270,0.01787355545287331,0.01775754801928997,0.0003280677789347175,0.01739627867937088,0.01982628647238016,0.08765701456616322,0.08508806210011244,150,0.9455573081970214
40994,climate-model-simulation-crashes,pure_hydra_8l,540,18,972,270,0.01198176488901178,0.011871442664414644,0.00042892851182840634,0.011309943161904812,0.015008929185569286,0.07958570165559649,0.0776734622195363,150,0.934639322757721
