did,dataset_name,model,num_samples,num_features,configured_eval_position,real_eval_position,split_number,timing_repetition,status,error,synchronized_elapsed_seconds,synchronized_model_inference_seconds,mean_metric
11,balance-scale,looped_transformer_6physical_core4x2,625,4,972,312,1,1,ok,,0.045511008240282536,0.020404470153152943,1.0
11,balance-scale,hybrid_8l,625,4,972,312,1,1,ok,,0.10223197471350431,0.020721961744129658,0.9993098974227905
11,balance-scale,tabpfn,625,4,972,312,1,1,ok,,0.05109810270369053,0.02418577391654253,0.9993955492973328
11,balance-scale,hydra,625,4,972,312,1,1,ok,,0.054463679902255535,0.02623275201767683,0.9934437274932861
11,balance-scale,looped_transformer_6physical_core4x2,625,4,972,312,1,2,ok,,0.043868955224752426,0.020647559314966202,1.0
11,balance-scale,hybrid_8l,625,4,972,312,1,2,ok,,0.0773973111063242,0.01758610922843218,0.9993098974227905
11,balance-scale,hydra,625,4,972,312,1,2,ok,,0.05209761671721935,0.026431349106132984,0.9934437274932861
11,balance-scale,tabpfn,625,4,972,312,1,2,ok,,0.06274425890296698,0.02462929394096136,0.9993955492973328
11,balance-scale,looped_transformer_6physical_core4x2,625,4,972,312,1,3,ok,,0.08126575034111738,0.023647142574191093,1.0
11,balance-scale,hybrid_8l,625,4,972,312,1,3,ok,,0.04286868218332529,0.0175571134313941,0.9993098974227905
11,balance-scale,hydra,625,4,972,312,1,3,ok,,0.07573550287634134,0.026278669014573097,0.9934437274932861
11,balance-scale,tabpfn,625,4,972,312,1,3,ok,,0.04975035972893238,0.024368601851165295,0.9993955492973328
11,balance-scale,looped_transformer_6physical_core4x2,625,4,972,312,1,4,ok,,0.055300976149737835,0.020562568679451942,1.0
11,balance-scale,hydra,625,4,972,312,1,4,ok,,0.09151065070182085,0.02566978521645069,0.9934437274932861
11,balance-scale,hybrid_8l,625,4,972,312,1,4,ok,,0.04625373333692551,0.016943050548434258,0.9993098974227905
11,balance-scale,tabpfn,625,4,972,312,1,4,ok,,0.04804578050971031,0.023540842346847057,0.9993955492973328
11,balance-scale,looped_transformer_6physical_core4x2,625,4,972,312,1,5,ok,,0.09157963190227747,0.019877259619534016,1.0
11,balance-scale,tabpfn,625,4,972,312,1,5,ok,,0.04763858765363693,0.0232898760586977,0.9993955492973328
11,balance-scale,hybrid_8l,625,4,972,312,1,5,ok,,0.04414251446723938,0.016979200765490532,0.9993098974227905
11,balance-scale,hydra,625,4,972,312,1,5,ok,,0.07627042569220066,0.025312168523669243,0.9934437274932861
11,balance-scale,looped_transformer_6physical_core4x2,625,4,972,312,2,1,ok,,0.04745439998805523,0.01986804325133562,0.9940271973609924
11,balance-scale,hybrid_8l,625,4,972,312,2,1,ok,,0.04171769134700298,0.017282985150814056,0.9926596283912659
11,balance-scale,hydra,625,4,972,312,2,1,ok,,0.07487175613641739,0.02578744851052761,0.9822571873664856
11,balance-scale,tabpfn,625,4,972,312,2,1,ok,,0.04601243697106838,0.02114802785217762,0.996491014957428
11,balance-scale,tabpfn,625,4,972,312,2,2,ok,,0.049372623674571514,0.02124481089413166,0.996491014957428
11,balance-scale,looped_transformer_6physical_core4x2,625,4,972,312,2,2,ok,,0.05287682358175516,0.017890315502882004,0.9940271973609924
11,balance-scale,hybrid_8l,625,4,972,312,2,2,ok,,0.053031254559755325,0.01536914985626936,0.9926596283912659
11,balance-scale,hydra,625,4,972,312,2,2,ok,,0.048299712128937244,0.02364407666027546,0.9822571873664856
11,balance-scale,hybrid_8l,625,4,972,312,2,3,ok,,0.07989718671888113,0.015698382630944252,0.9926596283912659
11,balance-scale,looped_transformer_6physical_core4x2,625,4,972,312,2,3,ok,,0.0416842270642519,0.018091917969286442,0.9940271973609924
11,balance-scale,tabpfn,625,4,972,312,2,3,ok,,0.0649792943149805,0.021169819869101048,0.996491014957428
11,balance-scale,hydra,625,4,972,312,2,3,ok,,0.05763083044439554,0.023345652036368847,0.9822571873664856
11,balance-scale,hybrid_8l,625,4,972,312,2,4,ok,,0.045116810128092766,0.015274249017238617,0.9926596283912659
11,balance-scale,hydra,625,4,972,312,2,4,ok,,0.047610215842723846,0.022876153700053692,0.9822571873664856
