did,dataset_name,model,num_samples,num_features,configured_eval_position,real_eval_position,split_number,timing_repetition,status,error,synchronized_elapsed_seconds,synchronized_model_inference_seconds,mean_metric
11,balance-scale,hydra_small,625,4,972,312,1,1,ok,,0.1384298913180828,0.1124554704874754,0.9973443746566772
11,balance-scale,hybrid_8l,625,4,972,312,1,1,ok,,0.038465787656605244,0.014603978022933006,0.9993098974227905
11,balance-scale,tabpfn,625,4,972,312,1,1,ok,,0.04573370795696974,0.020457538776099682,0.9993955492973328
11,balance-scale,hydra,625,4,972,312,1,1,ok,,0.045781588181853294,0.021822485141456127,0.9934437274932861
11,balance-scale,hydra_small,625,4,972,312,1,2,ok,,0.1382408533245325,0.11220014560967684,0.9973443746566772
11,balance-scale,hybrid_8l,625,4,972,312,1,2,ok,,0.0392032265663147,0.014666527509689331,0.9993098974227905
11,balance-scale,hydra,625,4,972,312,1,2,ok,,0.04618227854371071,0.021799801848828793,0.9934437274932861
11,balance-scale,tabpfn,625,4,972,312,1,2,ok,,0.04483970254659653,0.020087528973817825,0.9993955492973328
11,balance-scale,hydra_small,625,4,972,312,1,3,ok,,0.1387254511937499,0.11243125423789024,0.9973443746566772
11,balance-scale,hybrid_8l,625,4,972,312,1,3,ok,,0.037921675480902195,0.014644145034253597,0.9993098974227905
11,balance-scale,hydra,625,4,972,312,1,3,ok,,0.045582120306789875,0.02178544458001852,0.9934437274932861
11,balance-scale,tabpfn,625,4,972,312,1,3,ok,,0.044327604584395885,0.020072179846465588,0.9993955492973328
11,balance-scale,hydra_small,625,4,972,312,1,4,ok,,0.1388810658827424,0.1122687067836523,0.9973443746566772
11,balance-scale,hydra,625,4,972,312,1,4,ok,,0.04747249186038971,0.022810235619544983,0.9934437274932861
11,balance-scale,hybrid_8l,625,4,972,312,1,4,ok,,0.05632022488862276,0.014655275270342827,0.9993098974227905
11,balance-scale,tabpfn,625,4,972,312,1,4,ok,,0.04409966245293617,0.020248573273420334,0.9993955492973328
11,balance-scale,hydra_small,625,4,972,312,1,5,ok,,0.13904192112386227,0.11218502838164568,0.9973443746566772
11,balance-scale,tabpfn,625,4,972,312,1,5,ok,,0.04684711713343859,0.020189430564641953,0.9993955492973328
11,balance-scale,hybrid_8l,625,4,972,312,1,5,ok,,0.038858422078192234,0.014643042348325253,0.9993098974227905
11,balance-scale,hydra,625,4,972,312,1,5,ok,,0.04632771294564009,0.02199892047792673,0.9934437274932861
11,balance-scale,hydra_small,625,4,972,312,1,6,ok,,0.1386035606265068,0.11231070477515459,0.9973443746566772
11,balance-scale,hybrid_8l,625,4,972,312,1,6,ok,,0.03843626193702221,0.01452565100044012,0.9993098974227905
