did,dataset_name,model,num_samples,num_features,configured_eval_position,real_eval_position,inference_mean,inference_median,inference_std,inference_min,inference_max,end_to_end_mean,end_to_end_median,count,mean_metric
11,balance-scale,hybrid_8l,625,4,972,312,0.015966359451413156,0.015413522720336914,0.0013826881324200393,0.014627483673393726,0.020721961744129658,0.06149993497878313,0.04625373333692551,25,0.9942990899085998
11,balance-scale,hydra,625,4,972,312,0.023864337652921678,0.023156434297561646,0.0015855273123782318,0.021866428665816784,0.027438165619969368,0.06497908409684897,0.05469301529228687,25,0.9865081906318665
11,balance-scale,looped_transformer_6physical_core4x2,625,4,972,312,0.01869664907455444,0.017888040281832218,0.0018586026757471013,0.016953361220657825,0.023647142574191093,0.06445512134581804,0.05287682358175516,25,0.9963193655014038
11,balance-scale,tabpfn,625,4,972,312,0.02156936328858137,0.02117076050490141,0.0014192765480402888,0.02003853488713503,0.02462929394096136,0.06374825239181518,0.051393723115324974,25,0.9973952293395996
14,mfeat-fourier,hybrid_8l,2000,76,972,512,0.042673606351017954,0.041922427713871,0.0018419804081744261,0.04164468217641115,0.04812276642769575,0.7696605205535889,0.39437220990657806,25,0.9725027084350586
14,mfeat-fourier,hydra,2000,76,972,512,0.06489801231771708,0.06442104652523994,0.001080496895596365,0.06421291083097458,0.06839528493583202,0.6331613516807556,0.41474244464188814,25,0.9568649649620056
14,mfeat-fourier,looped_transformer_6physical_core4x2,2000,76,972,512,0.0477430072799325,0.04778269212692976,0.0015440468121691265,0.04123716056346893,0.05116033088415861,0.7003382459282875,0.4081690292805433,25,0.9739287495613098
14,mfeat-fourier,tabpfn,2000,76,972,512,0.05678157776594162,0.056624213233590126,0.002133708944864072,0.04898425843566656,0.06259115878492594,0.6372280662506818,0.39353079441934824,25,0.9734832048416138
15,breast-w,hybrid_8l,683,9,972,341,0.01512055691331625,0.014577659778296947,0.001942095075152377,0.014324771240353584,0.0229191230610013,0.09401625722646713,0.08716455660760403,25,0.9931215286254883
15,breast-w,hydra,683,9,972,341,0.020711727850139142,0.020424668677151203,0.000998163746808813,0.02009740751236677,0.024533272720873356,0.09583908677101136,0.10034307558089495,25,0.994261109828949
