did,dataset_name,model,num_samples,num_features,eval_position,mean,median,std,min,max,count,mean_metric
11,balance-scale,hybrid_8l,625,4,972,0.081852,0.062957,0.043561,0.037775,0.167001,10,0.995021
11,balance-scale,hydra,625,4,972,0.161899,0.05109,0.303552,0.045011,1.02231,10,0.988137
11,balance-scale,tabpfn,625,4,972,0.09859,0.058521,0.068607,0.04488,0.239113,10,0.99824
14,mfeat-fourier,hybrid_8l,2000,76,972,0.804431,0.73921,0.278896,0.512251,1.211824,10,0.973904
14,mfeat-fourier,hydra,2000,76,972,0.908528,0.846124,0.309869,0.421721,1.373016,10,0.960277
14,mfeat-fourier,tabpfn,2000,76,972,0.974358,1.05962,0.220362,0.599811,1.238419,10,0.975816
15,breast-w,hybrid_8l,683,9,972,0.128491,0.128228,0.02983,0.081004,0.1692,10,0.993802
15,breast-w,hydra,683,9,972,0.148947,0.148995,0.052238,0.080197,0.258088,10,0.994672
15,breast-w,tabpfn,683,9,972,0.13474,0.116859,0.047538,0.103314,0.257326,10,0.99468
16,mfeat-karhunen,hybrid_8l,2000,64,972,0.538094,0.557495,0.088801,0.38795,0.631021,10,0.996645
16,mfeat-karhunen,hydra,2000,64,972,0.555705,0.569533,0.132024,0.386738,0.79104,10,0.989891
16,mfeat-karhunen,tabpfn,2000,64,972,0.582632,0.54703,0.227227,0.330632,1.04729,10,0.996786
18,mfeat-morphological,hybrid_8l,2000,6,972,0.143751,0.156584,0.030457,0.099928,0.181309,10,0.964042
18,mfeat-morphological,hydra,2000,6,972,0.154202,0.134802,0.035976,0.115527,0.21101,10,0.958057
18,mfeat-morphological,tabpfn,2000,6,972,0.143954,0.132254,0.031727,0.110321,0.185303,10,0.963835
22,mfeat-zernike,hybrid_8l,2000,47,972,0.355252,0.366957,0.062771,0.273483,0.433214,10,0.980661
22,mfeat-zernike,hydra,2000,47,972,0.390537,0.406075,0.067956,0.279711,0.463759,10,0.96798
22,mfeat-zernike,tabpfn,2000,47,972,0.424804,0.45218,0.093457,0.286493,0.56206,10,0.982242
23,cmc,hybrid_8l,1473,9,972,0.07792,0.066152,0.026011,0.064963,0.135965,10,0.70675
23,cmc,hydra,1473,9,972,0.087034,0.078096,0.018902,0.076288,0.124961,10,0.693118
23,cmc,tabpfn,1473,9,972,0.086667,0.077342,0.019775,0.073709,0.123941,10,0.712318
29,credit-approval,hybrid_8l,653,15,972,0.078362,0.073012,0.012749,0.069458,0.103072,10,0.926676
29,credit-approval,hydra,653,15,972,0.084369,0.077577,0.018967,0.074858,0.137354,10,0.930668
29,credit-approval,tabpfn,653,15,972,0.086638,0.079204,0.016541,0.076742,0.120193,10,0.933494
31,credit-g,hybrid_8l,1000,20,972,0.105597,0.099474,0.012596,0.097828,0.13274,10,0.792168
31,credit-g,hydra,1000,20,972,0.11634,0.111379,0.012694,0.106545,0.143666,10,0.779825
31,credit-g,tabpfn,1000,20,972,0.112883,0.108943,0.011492,0.107494,0.145226,10,0.79206
37,diabetes,hybrid_8l,768,8,972,0.054202,0.051494,0.008885,0.049989,0.079386,10,0.825548
37,diabetes,hydra,768,8,972,0.058081,0.058151,0.00117,0.05594,0.059653,10,0.834808
37,diabetes,tabpfn,768,8,972,0.058086,0.058299,0.001103,0.055945,0.059267,10,0.835945
50,tic-tac-toe,hybrid_8l,958,9,972,0.070449,0.058979,0.017556,0.054155,0.095732,10,0.964488
50,tic-tac-toe,hydra,958,9,972,0.081037,0.068351,0.019422,0.062739,0.107526,10,0.801097
50,tic-tac-toe,tabpfn,958,9,972,0.077783,0.068171,0.017976,0.062339,0.105079,10,0.972544
54,vehicle,hybrid_8l,846,18,972,0.109021,0.103735,0.016782,0.101803,0.156607,10,0.95029
54,vehicle,hydra,846,18,972,0.119742,0.119577,0.003224,0.114918,0.125354,10,0.927589
54,vehicle,tabpfn,846,18,972,0.131059,0.116869,0.022308,0.114249,0.166458,10,0.958254
188,eucalyptus,hybrid_8l,641,19,972,0.103066,0.103148,0.001317,0.100406,0.10519,10,0.910933
188,eucalyptus,hydra,641,19,972,0.118157,0.118367,0.001777,0.113434,0.119635,10,0.901261
188,eucalyptus,tabpfn,641,19,972,0.113391,0.113374,0.001719,0.11079,0.11628,10,0.914725
458,analcatdata_authorship,hybrid_8l,841,70,972,0.291458,0.291239,0.003566,0.286169,0.297915,10,0.999993
458,analcatdata_authorship,hydra,841,70,972,0.31084,0.311138,0.005709,0.302674,0.322514,10,0.999914
458,analcatdata_authorship,tabpfn,841,70,972,0.309276,0.304711,0.016279,0.300757,0.355096,10,0.999995
469,analcatdata_dmft,hybrid_8l,797,4,972,0.064008,0.063132,0.003018,0.060843,0.070674,10,0.581094
469,analcatdata_dmft,hydra,797,4,972,0.079383,0.078417,0.003158,0.076407,0.08531,10,0.565801
469,analcatdata_dmft,tabpfn,797,4,972,0.075895,0.074806,0.002788,0.073291,0.082253,10,0.572532
1049,pc4,hybrid_8l,1458,37,972,0.165675,0.163815,0.005149,0.16142,0.17798,10,0.929582
