model,display_name,checkpoint,run,status,error,device,parameters,seq_len,num_features,num_classes,batch_size,eval_position,train_tokens,test_tokens,loss,step_seconds,examples_per_second,tokens_per_second
hydra_25m,Hydra 25M,tabpfn/models_diff/callback_pure_hydra_12_layers_512e_latest.cpkt,1,ok,,cuda:0,21578826,1024,100,10,2,512,1024,1024,2.356158971786499,0.12966615473851562,15.424225419757331,15794.406829831507
hydra_25m,Hydra 25M,tabpfn/models_diff/callback_pure_hydra_12_layers_512e_latest.cpkt,2,ok,,cuda:0,21578826,1024,100,10,2,512,1024,1024,2.316033363342285,0.0707864761352539,28.253984506567868,28932.080134725496
hydra_25m,Hydra 25M,tabpfn/models_diff/callback_pure_hydra_12_layers_512e_latest.cpkt,3,ok,,cuda:0,21578826,1024,100,10,2,512,1024,1024,2.2932465076446533,0.070367522072047,28.42220304350444,29104.335916548545
hydra_25m,Hydra 25M,tabpfn/models_diff/callback_pure_hydra_12_layers_512e_latest.cpkt,4,ok,,cuda:0,21578826,1024,100,10,2,512,1024,1024,2.2798190116882324,0.07413736265152693,26.97695100648159,27624.397830637146
hydra_25m,Hydra 25M,tabpfn/models_diff/callback_pure_hydra_12_layers_512e_latest.cpkt,5,ok,,cuda:0,21578826,1024,100,10,2,512,1024,1024,2.2665438652038574,0.08126027602702379,24.61227179852162,25202.966321686137
original_tabpfn,Original TabPFN,tabpfn/models_diff/tabpfn_transformer_model.cpkt,1,ok,,cuda:0,25821706,1024,100,10,2,512,1024,1024,2.5648438930511475,0.05787149025127292,34.559331223650474,35388.755173018086
original_tabpfn,Original TabPFN,tabpfn/models_diff/tabpfn_transformer_model.cpkt,2,ok,,cuda:0,25821706,1024,100,10,2,512,1024,1024,2.526005744934082,0.05760219041258097,34.720901855898475,35554.20350044004
original_tabpfn,Original TabPFN,tabpfn/models_diff/tabpfn_transformer_model.cpkt,3,ok,,cuda:0,25821706,1024,100,10,2,512,1024,1024,4.204473495483398,0.05804758286103606,34.45449235651951,35281.40017307598
original_tabpfn,Original TabPFN,tabpfn/models_diff/tabpfn_transformer_model.cpkt,4,ok,,cuda:0,25821706,1024,100,10,2,512,1024,1024,2.5031890869140625,0.058839292265474796,33.990891511343726,34806.672907615975
original_tabpfn,Original TabPFN,tabpfn/models_diff/tabpfn_transformer_model.cpkt,5,ok,,cuda:0,25821706,1024,100,10,2,512,1024,1024,2.3661048412323,0.05893190857023001,33.93747205075788,34751.97137997607
nanotabpfn,NanoTabPFN,nanoTabPFN/nanotabpfn_trained.pt,1,ok,,cuda:0,356066,150,5,2,32,75,2400,2400,0.7098948955535889,0.027464156970381737,1165.1550067424196,174773.2510113629
nanotabpfn,NanoTabPFN,nanoTabPFN/nanotabpfn_trained.pt,2,ok,,cuda:0,356066,150,5,2,32,75,2400,2400,0.7076426148414612,0.028812390752136707,1110.6332784143192,166594.99176214787
nanotabpfn,NanoTabPFN,nanoTabPFN/nanotabpfn_trained.pt,3,ok,,cuda:0,356066,150,5,2,32,75,2400,2400,0.7058861255645752,0.029237445909529924,1094.4868474154107,164173.0271123116
nanotabpfn,NanoTabPFN,nanoTabPFN/nanotabpfn_trained.pt,4,ok,,cuda:0,356066,150,5,2,32,75,2400,2400,0.7044222950935364,0.027953112963587046,1144.7741094769876,171716.11642154815
nanotabpfn,NanoTabPFN,nanoTabPFN/nanotabpfn_trained.pt,5,ok,,cuda:0,356066,150,5,2,32,75,2400,2400,0.7031258940696716,0.028284570667892694,1131.358873208031,169703.83098120464
hybrid_8l,Hybrid 8L,tabpfn/models_diff/callback_hybrid_8_layers_latest.cpkt,1,ok,,cuda:0,15999690,1024,100,10,2,512,1024,1024,2.4044899940490723,0.04756807116791606,42.045009412720724,43054.08963862602
hybrid_8l,Hybrid 8L,tabpfn/models_diff/callback_hybrid_8_layers_latest.cpkt,2,ok,,cuda:0,15999690,1024,100,10,2,512,1024,1024,2.3249430656433105,0.041999503038823605,47.619611073760446,48762.481739530696
hybrid_8l,Hybrid 8L,tabpfn/models_diff/callback_hybrid_8_layers_latest.cpkt,3,ok,,cuda:0,15999690,1024,100,10,2,512,1024,1024,2.30368709564209,0.05234893783926964,38.205168672967744,39122.09272111897
hybrid_8l,Hybrid 8L,tabpfn/models_diff/callback_hybrid_8_layers_latest.cpkt,4,ok,,cuda:0,15999690,1024,100,10,2,512,1024,1024,2.2913384437561035,0.06815844681113958,29.343391664158737,30047.633064098547
hybrid_8l,Hybrid 8L,tabpfn/models_diff/callback_hybrid_8_layers_latest.cpkt,5,ok,,cuda:0,15999690,1024,100,10,2,512,1024,1024,2.2850584983825684,0.053671903908252716,37.2634442672058,38157.76692961874
