
Synchronized per-dataset summary:
  did                     dataset_name                                model  num_samples  num_features  eval_position     mean   median      std      min      max  count  mean_metric
   11                    balance-scale                            hybrid_8l          625             4            972 0.052335 0.043312 0.018201 0.040359 0.086878     10     0.995021
   11                    balance-scale                                hydra          625             4            972 0.067963 0.070898 0.014651 0.047202 0.092228     10     0.988137
   11                    balance-scale looped_transformer_6physical_core4x2          625             4            972 0.052075 0.050649 0.007886 0.042153 0.065791     10     0.997255
   11                    balance-scale                               tabpfn          625             4            972 0.058883 0.056840 0.010904 0.044802 0.076731     10     0.998240
   14                    mfeat-fourier                            hybrid_8l         2000            76            972 0.424939 0.381221 0.096940 0.351242 0.666521     10     0.973904
   14                    mfeat-fourier                                hydra         2000            76            972 0.426751 0.421769 0.034796 0.380560 0.512388     10     0.960277
   14                    mfeat-fourier looped_transformer_6physical_core4x2         2000            76            972 0.403918 0.390236 0.037242 0.353375 0.468778     10     0.975866
   14                    mfeat-fourier                               tabpfn         2000            76            972 0.423128 0.403021 0.047402 0.385166 0.517024     10     0.975816
   15                         breast-w                            hybrid_8l          683             9            972 0.091329 0.086639 0.035029 0.053608 0.137074     10     0.993802
   15                         breast-w                                hydra          683             9            972 0.109363 0.113244 0.013915 0.084092 0.125069     10     0.994672
   15                         breast-w looped_transformer_6physical_core4x2          683             9            972 0.090195 0.076701 0.033329 0.057915 0.139675     10     0.994697
   15                         breast-w                               tabpfn          683             9            972 0.090614 0.067051 0.038062 0.062871 0.172461     10     0.994680
   16                   mfeat-karhunen                            hybrid_8l         2000            64            972 0.367798 0.346562 0.089059 0.304223 0.605265     10     0.996645
   16                   mfeat-karhunen                                hydra         2000            64            972 0.352057 0.348323 0.018306 0.335329 0.399811     10     0.989891
   16                   mfeat-karhunen looped_transformer_6physical_core4x2         2000            64            972 0.335870 0.332307 0.024140 0.310439 0.395748     10     0.997010
   16                   mfeat-karhunen                               tabpfn         2000            64            972 0.337959 0.340579 0.011041 0.320098 0.355715     10     0.996786
   18              mfeat-morphological                            hybrid_8l         2000             6            972 0.146566 0.155273 0.025819 0.109107 0.185524     10     0.964042
   18              mfeat-morphological                                hydra         2000             6            972 0.168072 0.165668 0.021798 0.138482 0.208916     10     0.958057
   18              mfeat-morphological looped_transformer_6physical_core4x2         2000             6            972 0.145776 0.141408 0.036893 0.105150 0.199860     10     0.963692
   18              mfeat-morphological                               tabpfn         2000             6            972 0.157355 0.161814 0.029113 0.113519 0.202414     10     0.963835
   22                    mfeat-zernike                            hybrid_8l         2000            47            972 0.303716 0.275057 0.052105 0.264208 0.411429     10     0.980661
   22                    mfeat-zernike                                hydra         2000            47            972 0.319376 0.309897 0.043370 0.273055 0.419360     10     0.967980
   22                    mfeat-zernike looped_transformer_6physical_core4x2         2000            47            972 0.314336 0.302236 0.050940 0.261991 0.425334     10     0.981357
   22                    mfeat-zernike                               tabpfn         2000            47            972 0.325044 0.283691 0.088027 0.269513 0.544835     10     0.982242
   23                              cmc                            hybrid_8l         1473             9            972 0.085914 0.081321 0.019547 0.066664 0.121518     10     0.706750
   23                              cmc                                hydra         1473             9            972 0.098372 0.090792 0.019672 0.078890 0.129442     10     0.693118
   23                              cmc looped_transformer_6physical_core4x2         1473             9            972 0.092501 0.093634 0.017990 0.068914 0.117457     10     0.710254
   23                              cmc                               tabpfn         1473             9            972 0.091310 0.091283 0.009740 0.077169 0.104231     10     0.712318
   29                  credit-approval                            hybrid_8l          653            15            972 0.081729 0.081677 0.005752 0.074231 0.092226     10     0.926676
   29                  credit-approval                                hydra          653            15            972 0.087719 0.083454 0.012341 0.075729 0.109719     10     0.930668
   29                  credit-approval looped_transformer_6physical_core4x2          653            15            972 0.089733 0.086697 0.009567 0.078171 0.108792     10     0.932465
   29                  credit-approval                               tabpfn          653            15            972 0.090969 0.089222 0.009329 0.079556 0.107112     10     0.933494
   31                         credit-g                            hybrid_8l         1000            20            972 0.134349 0.130836 0.030539 0.100574 0.194322     10     0.792168
   31                         credit-g                                hydra         1000            20            972 0.128112 0.123564 0.015611 0.109418 0.162755     10     0.779825
   31                         credit-g looped_transformer_6physical_core4x2         1000            20            972 0.130693 0.132870 0.017828 0.104829 0.155000     10     0.788140
   31                         credit-g                               tabpfn         1000            20            972 0.145033 0.144723 0.021961 0.118509 0.195504     10     0.792060
   37                         diabetes                            hybrid_8l          768             8            972 0.084237 0.093502 0.021193 0.052765 0.108508     10     0.825548
   37                         diabetes                                hydra          768             8            972 0.078040 0.074132 0.017493 0.061539 0.117587     10     0.834808
   37                         diabetes looped_transformer_6physical_core4x2          768             8            972 0.084004 0.080120 0.019040 0.053753 0.112065     10     0.836348
   37                         diabetes                               tabpfn          768             8            972 0.090653 0.078734 0.042034 0.060022 0.199006     10     0.835945
   50                      tic-tac-toe                            hybrid_8l          958             9            972 0.077945 0.066488 0.024389 0.057938 0.128394     10     0.964488
   50                      tic-tac-toe                                hydra          958             9            972 0.089957 0.088949 0.019034 0.066594 0.116186     10     0.801097
   50                      tic-tac-toe looped_transformer_6physical_core4x2          958             9            972 0.084856 0.083981 0.019987 0.060943 0.114024     10     0.969963
