Synchronized per-dataset summary:
  did                     dataset_name     model  num_samples  num_features  eval_position     mean   median      std      min      max  count  mean_metric
   11                    balance-scale hybrid_8l          625             4            972 0.166312 0.121514 0.103768 0.067547 0.357023     10     0.995021
   11                    balance-scale     hydra          625             4            972 0.187934 0.170479 0.129949 0.052895 0.490650     10     0.988137
   11                    balance-scale    tabpfn          625             4            972 0.224598 0.158762 0.239115 0.048966 0.882443     10     0.998240
   14                    mfeat-fourier hybrid_8l         2000            76            972 1.125676 1.224754 0.435514 0.376468 1.561248     10     0.973904
   14                    mfeat-fourier     hydra         2000            76            972 1.279863 1.273139 0.383853 0.520334 1.830899     10     0.960277
   14                    mfeat-fourier    tabpfn         2000            76            972 1.093698 1.125080 0.351858 0.513169 1.773136     10     0.975816
   15                         breast-w hybrid_8l          683             9            972 0.160951 0.153692 0.050755 0.097715 0.262101     10     0.993802
   15                         breast-w     hydra          683             9            972 0.167996 0.155723 0.053076 0.103989 0.258613     10     0.994672
   15                         breast-w    tabpfn          683             9            972 0.158786 0.155747 0.029782 0.102678 0.213327     10     0.994680
   16                   mfeat-karhunen hybrid_8l         2000            64            972 0.845195 0.904335 0.327806 0.319423 1.318100     10     0.996645
   16                   mfeat-karhunen     hydra         2000            64            972 0.984357 1.045869 0.296329 0.471391 1.323835     10     0.989891
   16                   mfeat-karhunen    tabpfn         2000            64            972 0.839391 0.843300 0.361512 0.358427 1.427438     10     0.996786
   18              mfeat-morphological hybrid_8l         2000             6            972 0.234893 0.235245 0.047991 0.127599 0.292273     10     0.964042
   18              mfeat-morphological     hydra         2000             6            972 0.280219 0.267953 0.069591 0.211132 0.407395     10     0.958057
   18              mfeat-morphological    tabpfn         2000             6            972 0.276136 0.249006 0.069025 0.210303 0.410213     10     0.963835
   22                    mfeat-zernike hybrid_8l         2000            47            972 0.760871 0.728293 0.291250 0.288696 1.185224     10     0.980661
   22                    mfeat-zernike     hydra         2000            47            972 0.718754 0.642314 0.222411 0.543563 1.242969     10     0.967980
   22                    mfeat-zernike    tabpfn         2000            47            972 0.685871 0.687488 0.182704 0.458984 1.133804     10     0.982242
   23                              cmc hybrid_8l         1473             9            972 0.206230 0.181510 0.093496 0.118386 0.433735     10     0.706750
   23                              cmc     hydra         1473             9            972 0.228570 0.235463 0.080199 0.133003 0.404302     10     0.693118
   23                              cmc    tabpfn         1473             9            972 0.217734 0.181288 0.078779 0.139429 0.327242     10     0.712318
   29                  credit-approval hybrid_8l          653            15            972 0.136985 0.127972 0.028208 0.107841 0.205389     10     0.926676
   29                  credit-approval     hydra          653            15            972 0.151358 0.132679 0.039286 0.120097 0.235939     10     0.930668
   29                  credit-approval    tabpfn          653            15            972 0.165248 0.153905 0.038886 0.118355 0.254120     10     0.933494
   31                         credit-g hybrid_8l         1000            20            972 0.216617 0.192112 0.075375 0.139635 0.313739     10     0.792168
   31                         credit-g     hydra         1000            20            972 0.206190 0.185760 0.052664 0.149264 0.336179     10     0.779825
   31                         credit-g    tabpfn         1000            20            972 0.206602 0.181202 0.071933 0.139603 0.358197     10     0.792060
   37                         diabetes hybrid_8l          768             8            972 0.138538 0.145701 0.026612 0.090843 0.163395     10     0.825548
   37                         diabetes     hydra          768             8            972 0.192660 0.178554 0.077091 0.116664 0.390423     10     0.834808
   37                         diabetes    tabpfn          768             8            972 0.142660 0.143557 0.020381 0.107826 0.183309     10     0.835945
   50                      tic-tac-toe hybrid_8l          958             9            972 0.168200 0.153223 0.056869 0.097884 0.266629     10     0.964488
   50                      tic-tac-toe     hydra          958             9            972 0.180430 0.195455 0.033252 0.114095 0.214982     10     0.801097
   50                      tic-tac-toe    tabpfn          958             9            972 0.181117 0.145581 0.073651 0.115886 0.314490     10     0.972544
